target x-box y-box width high onpix x-bar y-bar x2bar y2bar xybar x2ybr xy2br x-ege xegvy y-ege yegvx
C 2 1 3 2 1 6 7 6 9 7 6 14 0 8 4 9
C 2 1 3 2 1 6 7 6 7 8 7 13 1 9 4 10
G 6 10 7 8 5 6 7 7 7 5 7 10 2 7 4 8
C 9 13 7 7 5 7 9 4 4 9 8 9 3 9 8 11
G 2 3 3 2 1 7 6 5 5 7 6 9 2 9 4 9
G 6 6 7 8 3 8 5 8 9 6 5 10 2 8 6 11
C 1 0 2 1 0 7 7 6 8 7 6 13 0 8 4 10
G 3 5 4 4 2 6 7 6 6 10 7 10 2 9 4 9
C 4 9 5 7 4 4 8 6 7 9 9 15 1 9 4 10
G 2 3 4 2 2 7 6 6 5 6 6 9 2 9 4 9
G 2 3 3 2 2 7 7 5 5 6 6 9 2 9 4 9
C 1 0 2 0 0 7 7 6 8 7 6 13 0 8 4 10
C 2 5 3 3 1 4 9 5 6 11 10 11 1 9 2 7
G 3 6 4 4 4 7 7 5 2 7 6 10 4 9 7 7
C 2 4 3 3 1 4 9 5 6 11 9 11 1 9 2 8
G 3 4 4 3 2 6 7 5 5 9 7 9 2 9 4 9
G 4 7 6 5 4 6 6 5 5 6 6 7 3 7 4 7
C 3 2 4 4 2 6 8 7 8 8 8 14 1 9 4 10
G 5 9 5 6 3 6 7 7 7 10 7 10 2 9 4 9
C 6 11 7 8 9 7 5 4 4 8 7 11 6 10 5 8
C 8 15 6 8 5 5 10 4 5 9 7 8 3 9 9 9
C 8 12 5 7 3 5 10 6 8 11 8 8 1 8 6 8
G 5 10 6 7 3 7 5 8 10 7 5 12 1 9 5 10
C 3 5 4 3 2 6 7 7 7 8 7 14 2 9 4 10
C 8 11 5 6 2 7 9 6 7 12 7 8 2 9 5 9
C 4 8 5 6 3 5 8 6 6 8 8 15 3 10 4 10
G 6 10 7 8 3 8 7 8 8 6 6 9 2 7 6 11
C 7 10 8 8 5 5 8 6 7 12 9 12 3 11 4 6
G 8 13 7 7 4 7 3 6 2 6 5 4 4 7 5 7
C 5 10 6 7 4 5 7 7 10 7 6 11 2 8 5 11
G 6 10 6 7 5 5 7 6 5 9 8 11 2 9 4 9
G 1 3 2 2 1 6 7 5 5 9 7 10 2 8 4 10
C 5 8 6 6 2 3 10 5 8 12 11 10 1 8 2 6
C 4 6 5 4 5 5 7 4 5 7 6 9 5 11 3 8
C 9 15 7 8 5 8 7 5 3 8 8 10 4 9 8 13
G 2 4 3 3 2 6 7 5 5 10 7 10 2 9 4 9
C 2 1 2 2 0 6 7 6 9 7 6 15 0 8 4 10
G 4 7 4 5 2 7 6 6 6 11 6 12 2 10 4 10
C 6 11 5 6 4 7 7 4 3 9 8 10 4 9 8 11
G 2 3 3 2 1 7 7 5 6 10 6 10 2 9 3 9
C 6 10 7 8 4 6 8 7 8 13 8 10 2 11 3 7
G 5 11 6 8 7 7 8 6 2 6 6 10 4 8 7 7
G 5 8 6 6 4 7 6 7 8 7 5 11 3 11 5 8
C 4 6 5 4 5 6 6 4 4 7 6 11 5 9 3 8
G 5 8 5 6 4 7 6 6 7 10 7 11 2 10 4 9
G 3 4 4 3 2 6 7 5 5 9 7 10 2 8 4 10
G 1 0 2 0 0 8 6 5 4 6 5 9 1 8 5 10
G 5 11 4 6 3 7 9 4 4 9 6 5 3 9 8 7
G 3 7 4 5 2 8 7 7 7 6 6 10 2 7 5 11
C 4 9 5 7 3 4 7 5 6 11 9 14 2 8 3 8
C 2 1 3 2 1 6 8 7 8 8 8 13 1 9 4 10
G 7 10 7 8 6 5 7 6 5 8 8 11 2 7 5 10
C 4 9 5 7 6 8 6 5 3 7 7 11 5 9 3 8
G 4 4 6 6 2 8 5 8 9 6 5 10 2 8 5 10
C 3 3 4 5 2 6 6 7 9 9 5 13 1 9 4 8
G 5 10 5 8 4 5 6 6 5 9 8 12 2 9 4 10
C 4 9 5 7 3 6 8 6 8 7 6 14 1 8 4 9
C 6 12 4 6 2 5 10 5 8 11 8 9 2 8 5 8
C 6 12 4 6 2 7 7 7 6 11 6 8 2 9 5 9
G 5 9 5 7 4 6 6 7 6 8 7 12 3 7 5 8
G 5 11 6 8 5 6 6 6 6 10 6 13 3 8 4 9
C 6 11 6 8 3 5 8 7 8 13 10 11 2 10 3 7
C 3 9 4 7 3 6 8 8 7 10 7 12 2 10 4 10
C 3 6 4 5 4 5 6 3 5 7 6 11 4 10 6 9
C 1 0 2 1 0 6 7 6 9 7 6 14 0 8 4 10
G 4 7 5 5 5 8 5 4 3 7 6 10 6 8 4 10
C 2 3 2 2 1 4 8 4 7 10 9 12 1 8 2 7
C 4 8 4 6 2 4 9 6 7 12 10 12 2 9 3 7
G 3 7 5 5 5 9 7 5 2 7 6 10 5 9 4 10
C 4 7 5 5 3 8 7 8 6 6 7 10 3 8 3 9
G 4 7 4 5 2 6 7 6 5 9 8 10 2 8 4 9
C 4 5 5 7 2 5 7 7 10 7 6 13 1 8 4 8
C 6 10 7 8 5 3 7 4 7 10 8 15 4 9 5 6
G 4 8 5 6 2 7 7 7 8 6 6 8 2 7 6 11
C 5 11 5 8 4 4 7 5 6 11 9 14 2 10 4 7
C 3 6 4 4 1 6 7 6 9 6 6 13 1 7 4 8
G 2 1 3 1 1 8 6 6 6 6 5 9 1 7 6 10
C 2 6 3 4 2 6 8 8 8 8 8 14 1 9 4 9
C 3 7 4 5 2 3 9 5 8 11 11 11 1 8 3 7
G 4 7 4 5 2 6 7 6 6 10 8 9 2 9 4 9
C 7 13 5 7 4 7 7 4 3 9 8 11 4 9 9 11
C 4 8 5 7 5 5 7 4 4 7 6 11 4 9 8 10
G 4 10 6 8 7 8 6 5 2 6 6 10 7 8 5 10
C 4 9 6 7 4 5 8 6 6 8 8 15 3 10 4 9
C 4 6 5 4 3 4 8 5 7 9 9 14 1 8 3 8
G 6 11 7 8 6 7 7 8 7 6 5 10 2 7 5 11
C 9 13 6 7 3 6 9 6 7 12 7 7 2 9 5 9
G 8 11 7 6 4 7 6 6 5 9 5 6 4 7 5 7
G 7 11 7 8 6 6 6 6 6 10 7 12 2 10 4 10
G 7 10 7 8 5 5 7 6 6 9 7 12 2 9 4 10
G 2 0 2 1 1 8 6 6 5 6 5 9 1 8 5 10
C 6 9 6 6 4 7 8 6 8 13 7 10 3 11 4 6
C 2 1 3 2 1 6 8 7 7 8 7 13 1 9 4 10
C 3 6 4 4 2 6 7 6 7 6 7 12 1 8 4 10
G 5 10 6 8 4 6 6 8 7 8 5 13 2 9 5 9
C 5 10 6 8 2 6 7 7 10 6 6 15 1 8 4 9
G 4 8 5 6 4 7 6 7 7 7 4 11 1 8 5 11
C 5 5 6 8 2 6 7 7 10 7 6 15 1 8 4 9
G 2 3 3 2 1 7 7 6 6 6 6 10 2 9 4 9
C 4 7 4 5 2 3 8 5 7 11 11 12 1 8 2 7
C 2 6 3 4 1 4 7 7 9 7 6 11 1 9 4 9
G 2 3 2 2 1 6 7 5 4 9 7 9 2 9 4 9
G 4 6 6 4 5 7 7 5 3 6 6 10 4 8 7 8
C 2 2 3 4 2 6 8 7 7 8 8 14 1 9 4 10
C 3 8 4 6 3 6 8 6 5 9 8 14 1 9 3 11
G 4 5 5 8 2 7 6 8 9 6 5 11 1 8 6 11
G 3 4 4 3 2 6 6 6 6 6 6 11 2 9 4 9
G 3 8 5 6 4 6 6 6 5 5 7 10 2 8 4 9
G 4 9 5 7 6 9 5 5 2 7 6 10 7 8 5 10
G 5 10 6 8 8 9 6 5 2 7 6 10 8 8 5 10
C 5 8 5 6 4 6 7 6 6 12 8 11 2 11 4 7
C 5 10 6 8 2 4 7 7 11 7 6 12 1 8 4 9
G 3 7 5 5 5 8 9 6 3 6 6 9 4 8 6 7
C 6 12 5 6 4 7 9 4 5 8 7 9 4 8 8 10
G 6 11 6 8 4 6 7 7 6 9 8 11 3 7 6 8
G 1 0 2 1 0 8 7 6 5 6 5 9 1 7 5 10
G 7 9 7 7 5 5 7 6 6 10 8 11 2 9 4 10
G 5 9 4 5 3 7 9 4 3 8 6 5 3 10 9 7
G 2 1 3 2 1 6 7 5 5 6 6 9 2 9 4 8
C 6 9 8 7 8 6 6 4 5 7 6 10 6 9 4 8
G 1 0 1 0 0 7 6 6 5 6 5 9 1 7 4 10
C 6 11 6 8 4 5 7 7 8 12 9 14 2 10 4 7
C 5 8 6 6 4 7 8 8 6 5 7 12 5 8 4 8
G 9 13 7 7 5 9 6 5 4 9 5 7 3 9 8 9
C 4 4 5 7 2 5 7 7 10 7 6 14 1 8 4 9
G 2 3 3 5 2 8 8 8 6 5 7 9 2 7 5 11
G 3 10 4 7 2 7 6 8 8 6 6 11 2 8 5 11
C 3 2 4 4 2 6 8 7 8 9 8 13 1 9 4 10
G 2 4 3 3 2 6 7 5 4 9 7 10 2 9 4 10
C 3 7 5 6 5 5 8 3 5 7 6 11 3 9 7 9
G 5 11 7 8 9 8 7 5 2 6 6 10 7 8 6 12
G 3 8 4 6 2 7 6 8 7 6 5 11 1 8 5 11
C 7 11 8 8 5 5 7 5 7 12 9 13 4 11 5 5
C 3 5 4 7 2 5 7 7 10 7 5 14 1 8 4 9
C 2 3 2 1 1 5 8 5 6 11 9 11 1 9 3 8
C 5 4 6 7 2 6 9 7 11 5 7 12 1 6 4 8
C 5 9 4 5 3 7 6 4 4 9 9 11 4 10 9 10
C 2 5 3 3 1 4 8 4 7 11 9 12 1 9 2 7
G 3 5 4 4 2 6 7 6 7 7 5 10 2 9 4 9
C 7 9 7 7 4 4 7 5 7 11 9 14 3 10 4 7
G 6 8 8 7 8 7 10 6 2 7 7 8 6 11 7 8
C 4 8 5 6 6 7 6 3 4 8 6 11 5 9 3 8
G 2 6 3 4 2 7 7 7 6 6 6 8 2 7 6 11
C 4 9 5 7 2 5 7 7 10 7 7 12 1 8 4 8
C 5 11 6 8 5 5 8 8 7 10 8 13 2 11 4 10
C 3 4 4 3 1 5 9 5 7 11 9 12 1 9 3 7
C 9 13 6 8 3 6 9 7 7 11 7 6 2 9 6 8
C 2 4 3 3 1 4 9 4 7 11 9 12 1 9 2 7
G 3 3 5 5 2 8 6 7 8 6 5 10 1 8 6 11
C 3 6 5 4 3 7 7 7 6 8 6 11 3 9 4 8
C 6 12 5 6 4 6 8 4 4 10 8 9 4 9 9 9
G 8 14 7 8 5 8 6 4 3 9 6 8 4 9 8 8
G 7 14 6 8 5 7 7 5 4 9 5 6 4 9 9 8
C 5 7 7 6 6 5 6 4 5 7 6 11 4 10 7 10
C 3 4 4 3 1 5 9 5 7 12 9 10 1 10 3 7
C 2 1 2 1 1 6 7 6 10 7 6 14 0 8 4 9
C 4 6 5 4 2 4 8 6 9 10 10 12 1 8 3 7
C 2 3 3 1 1 5 9 4 6 11 9 11 1 9 2 8
C 7 11 9 8 6 7 7 8 6 6 7 11 4 7 4 9
G 4 6 6 4 5 7 8 5 3 6 6 8 5 7 7 7
G 4 7 5 5 4 6 7 6 4 5 7 9 2 7 4 9
G 5 5 6 7 3 8 6 8 9 6 5 11 1 8 6 11
C 3 4 4 3 2 4 8 4 6 11 10 12 1 9 2 7
G 4 11 5 8 3 7 6 9 8 6 6 11 2 8 5 11
G 2 0 2 1 1 8 6 5 5 6 5 9 1 8 5 10
C 3 3 4 4 1 6 7 7 9 7 6 13 1 9 4 9
G 4 8 6 6 3 8 8 8 8 6 7 8 2 7 6 11
C 5 11 6 8 3 6 7 7 11 5 6 14 1 7 4 8
G 4 9 5 7 3 8 7 8 7 6 6 9 2 7 6 10
G 8 14 7 8 4 8 4 5 3 8 4 5 4 7 5 8
C 5 4 6 6 2 6 7 7 11 7 6 14 1 8 4 9
G 6 8 8 7 8 7 10 6 2 7 7 8 6 11 7 8
C 3 6 4 4 2 6 8 7 7 9 8 12 2 10 4 10
G 3 5 4 7 3 7 7 8 7 7 7 7 2 7 6 11
C 2 4 2 3 1 6 8 6 7 8 8 13 1 10 3 10
C 4 6 6 5 5 4 7 3 6 6 6 10 4 10 7 7
G 2 6 3 4 2 7 6 6 6 6 5 10 1 8 5 11
G 4 6 4 4 3 7 6 6 5 9 6 13 2 8 4 10
C 4 7 5 5 2 6 7 6 7 12 8 13 2 10 3 8
C 3 4 4 6 2 6 7 7 9 8 5 13 1 9 4 9
G 6 11 6 8 5 6 6 6 6 10 6 13 4 9 6 8
G 4 10 6 7 4 7 7 7 6 5 7 8 2 7 4 8
G 5 11 7 8 5 5 6 6 7 6 6 8 4 7 4 7
G 7 12 6 6 4 8 3 4 3 7 4 4 4 7 5 8
G 4 9 6 7 6 7 8 6 2 6 5 11 4 8 7 8
G 3 3 4 5 2 7 8 8 7 6 7 8 2 7 6 11
C 3 8 4 6 2 6 8 8 7 9 8 14 2 9 4 10
C 3 4 4 3 2 4 7 5 7 10 8 13 1 9 3 8
G 4 7 5 5 2 7 6 7 9 6 5 10 1 8 6 11
G 5 9 4 4 2 11 3 2 3 9 2 6 4 7 3 10
G 5 9 7 8 8 8 6 6 4 7 6 9 10 10 9 9
C 4 4 5 6 2 6 7 7 11 6 6 13 1 7 4 9
G 4 7 4 5 3 6 7 6 7 9 8 9 2 10 4 9
C 4 10 5 8 2 5 7 7 10 7 5 13 1 9 4 8
G 3 5 4 4 2 6 6 5 5 9 7 11 2 8 4 10
G 2 0 2 1 1 8 6 6 5 6 5 9 1 8 5 10
C 3 6 4 4 2 6 7 6 7 7 6 12 1 8 4 10
G 2 0 2 1 1 8 6 6 5 6 5 9 1 8 5 10
G 5 8 6 7 7 7 9 5 2 7 7 8 6 11 7 8
C 5 9 6 7 4 5 7 6 9 6 6 10 1 6 5 10
G 2 4 3 3 2 6 7 5 5 9 7 10 2 8 4 9
G 1 0 2 1 1 8 6 6 5 6 5 9 1 8 5 10
G 7 11 9 8 11 8 5 4 3 6 5 10 8 7 9 13
C 4 9 5 6 3 6 9 7 8 13 8 7 2 11 3 7
G 5 7 5 5 3 6 7 6 6 9 7 10 2 8 4 9
G 5 11 6 8 4 6 7 7 7 11 7 11 2 10 4 9
G 2 1 2 2 1 8 6 6 6 6 5 10 1 7 5 10
C 7 10 8 8 5 4 8 6 7 12 10 12 2 11 3 7
C 3 5 5 3 2 4 8 5 7 11 10 12 1 9 2 7
C 1 0 1 1 0 6 7 6 8 7 6 14 0 8 4 10
G 2 1 3 2 1 7 7 6 5 6 6 10 2 8 4 10
G 3 4 4 3 2 6 6 5 5 7 6 9 3 7 4 8
C 5 5 6 8 3 5 7 7 11 7 6 12 1 8 4 9
C 2 1 3 2 1 6 8 7 7 8 7 13 1 10 4 10
C 4 9 5 7 6 5 7 4 5 7 6 9 6 10 5 7
G 4 8 4 6 3 7 7 6 6 10 7 11 2 9 4 9
G 5 9 4 5 2 7 4 4 2 7 4 5 4 7 5 8
G 5 11 7 8 6 7 6 7 8 6 5 8 2 10 8 12
C 3 7 5 5 5 5 7 3 4 7 6 10 5 10 3 8
G 5 9 7 8 8 7 9 5 2 7 7 8 6 11 7 9
C 2 1 3 2 1 6 7 6 10 7 6 14 0 8 4 9
G 5 11 7 8 5 6 6 7 7 6 5 10 2 9 4 8
G 3 7 4 5 3 6 6 6 5 10 7 13 2 9 4 10
C 2 4 3 3 1 4 9 5 7 11 9 12 1 9 2 7
C 3 5 4 4 2 3 9 4 7 11 10 12 1 9 2 6
C 4 9 6 6 2 7 8 7 10 5 6 13 1 7 4 9
C 7 9 8 8 8 5 7 4 5 7 6 11 5 9 8 9
G 3 5 4 4 3 6 7 5 5 9 7 10 2 8 4 10
C 4 10 5 8 4 6 7 6 8 5 7 12 1 7 4 9
G 4 7 5 5 4 6 6 6 5 9 7 12 3 8 4 9
G 5 11 6 8 9 7 5 4 4 7 5 11 7 8 9 14
G 6 11 6 8 5 5 6 5 5 9 8 11 2 9 4 9
C 5 9 7 7 5 7 7 8 6 7 6 13 6 8 5 7
G 4 6 6 4 5 7 8 5 4 6 6 8 4 7 7 7
C 6 12 5 6 4 8 6 4 3 9 8 11 4 9 7 11
G 2 0 2 1 1 8 6 6 6 6 5 9 1 7 5 10
C 4 7 5 5 3 5 8 7 7 8 8 14 1 10 4 10
C 6 8 7 6 4 5 8 6 7 12 8 10 3 12 3 6
C 2 1 3 2 1 6 8 6 7 7 8 12 1 9 4 10
G 3 4 4 7 2 6 5 8 8 6 5 10 1 8 6 11
G 7 11 8 8 7 5 5 6 6 6 5 11 4 10 4 9
G 6 9 5 4 3 8 3 4 3 7 3 5 4 7 4 9
C 7 11 8 8 5 4 8 6 7 12 9 11 2 11 3 7
G 5 11 7 8 8 7 7 6 2 7 6 11 7 9 10 6
C 2 4 3 3 1 6 8 7 8 7 8 13 1 8 4 10
G 3 4 5 7 2 8 7 9 7 5 6 10 2 7 5 10
C 7 10 7 8 5 3 8 5 7 10 10 14 3 9 4 6
C 2 1 3 2 1 6 8 7 7 8 8 13 1 9 4 10
C 3 7 4 5 2 5 8 6 7 7 6 12 1 9 4 10
G 5 8 6 6 4 6 6 6 5 6 6 10 2 9 4 8
G 3 8 4 6 2 7 6 8 7 6 6 9 2 7 6 11
C 3 6 4 4 1 5 7 7 10 6 6 13 1 8 4 8
G 5 5 7 8 3 7 5 7 10 5 5 9 1 9 7 11
C 6 10 7 8 3 4 9 6 8 12 10 11 2 9 3 6
C 1 1 2 1 1 6 8 6 6 8 7 12 1 9 3 10
G 6 7 8 6 7 7 8 5 3 7 7 8 9 10 9 7
G 2 5 3 3 2 7 7 7 6 6 6 10 2 8 4 9
C 6 9 6 7 3 4 8 6 7 12 10 12 2 10 2 7
G 4 8 6 6 6 7 7 6 3 6 6 9 4 8 7 8
C 3 6 4 6 4 4 8 3 5 7 6 11 3 10 7 7
G 4 7 5 5 3 6 7 6 7 10 7 11 2 9 4 9
C 3 2 4 4 2 6 8 8 8 9 8 12 2 10 4 9
C 4 8 5 6 3 4 8 5 6 9 8 14 3 7 4 8
C 5 9 6 6 3 5 9 7 8 5 8 14 2 7 5 8
C 4 8 5 6 2 5 9 8 8 13 9 6 2 10 2 6
G 6 11 7 8 4 7 6 7 7 11 6 13 3 9 5 8
C 4 7 5 5 2 5 7 6 7 11 9 13 2 9 4 7
G 4 7 5 5 3 6 7 7 7 10 7 9 2 10 4 9
C 3 7 4 5 2 7 7 7 10 10 6 13 1 10 4 9
C 5 10 6 8 2 6 6 7 11 9 5 14 1 9 4 8
G 4 10 5 7 3 7 7 8 7 6 6 8 2 7 6 11
G 4 9 5 6 2 7 6 8 8 6 5 10 2 8 5 11
G 2 1 2 1 1 8 6 6 6 6 5 9 1 7 5 10
G 4 4 6 7 3 8 8 8 8 6 7 8 2 7 6 10
G 6 8 8 6 7 7 10 6 5 6 6 8 5 6 7 7
C 5 9 6 7 2 6 7 7 12 7 6 15 1 8 4 9
G 6 10 7 8 4 6 7 7 8 10 7 10 2 10 5 9
C 2 4 3 3 1 4 8 4 7 10 9 13 1 8 2 7
G 4 6 5 4 6 8 6 4 2 6 6 9 6 8 6 11
C 3 4 4 3 1 4 8 5 8 11 9 12 1 9 3 7
G 5 5 6 7 3 7 4 7 9 5 5 9 1 9 7 11
C 5 10 6 8 2 6 7 7 10 6 6 15 1 8 4 9
C 2 4 3 3 1 6 8 7 7 9 7 12 1 10 4 10
C 4 5 5 5 4 6 8 3 5 6 6 11 4 9 7 9
C 3 4 4 6 1 5 7 6 9 7 6 14 1 9 4 9
C 2 3 3 2 1 5 9 5 7 12 9 10 1 10 2 7
C 6 11 8 8 9 5 6 3 5 8 6 12 6 9 3 9
G 4 3 5 5 2 8 5 7 9 7 4 11 1 9 5 10
G 3 6 4 4 3 6 7 6 5 9 7 10 2 9 4 10
G 3 9 4 7 2 7 6 8 7 6 6 10 2 7 5 10
C 3 7 4 5 1 6 7 7 9 7 6 13 1 8 4 9
G 2 1 4 3 2 7 7 6 6 6 7 9 2 8 4 9
G 2 0 2 1 1 8 7 6 5 6 6 9 1 7 5 10
C 4 10 5 8 2 5 7 7 10 6 6 13 1 7 4 9
G 4 9 6 7 7 7 9 6 3 6 6 10 4 8 7 7
G 2 3 3 2 1 6 7 5 5 9 7 10 1 8 4 10
G 4 8 6 6 5 7 6 6 4 7 7 9 5 9 7 8
G 4 5 5 4 3 6 7 5 5 9 8 9 2 8 5 9
C 2 4 3 3 1 6 8 7 7 8 8 13 1 10 4 10
G 4 6 6 5 5 8 10 5 2 7 7 9 6 11 7 10
C 3 10 5 7 3 4 9 6 6 6 8 14 1 8 4 10
G 2 3 2 2 1 6 8 5 4 9 8 9 2 8 4 9
C 2 4 3 3 2 6 8 7 7 8 8 13 1 10 4 10
C 2 1 3 2 1 6 7 6 10 7 6 14 0 8 4 9
G 5 11 5 8 4 5 6 7 6 7 7 11 3 7 5 8
C 3 6 5 5 4 6 6 4 5 7 6 11 4 10 7 10
C 1 1 2 1 0 6 7 6 9 7 6 14 0 8 4 10
G 4 5 6 4 5 7 8 5 3 7 7 8 7 11 7 8
C 7 10 8 8 4 6 8 7 8 13 8 9 2 11 3 7
G 5 9 4 4 3 8 6 4 2 9 6 8 3 9 8 8
G 3 9 5 6 2 7 6 8 7 6 6 8 2 7 6 11
G 3 7 4 5 2 7 6 8 7 6 6 8 2 8 6 11
G 4 7 6 5 3 6 6 6 7 6 6 10 3 7 4 8
G 2 4 3 3 2 6 7 5 5 9 7 10 2 9 4 9
C 1 0 2 1 0 6 7 6 8 7 6 14 0 8 4 10
G 2 3 3 2 2 6 7 5 5 9 7 10 2 9 4 9
G 2 5 3 4 2 6 7 6 6 10 7 11 2 9 4 9
C 6 9 7 7 7 6 7 3 4 6 7 10 7 8 6 7
G 5 9 5 7 4 5 7 6 6 10 8 9 2 9 5 9
