Sample	Intensity	Prevalence	Year	Depth	Weight	Length	Sex	Stage	Age	Area
102	0	0	1999	100	2352	64	1	1	6	2
103	0	0	1999	100	2084	60	2	1	4	2
104	0	0	1999	100	1008	48	2	1	3	2
105	0	0	1999	100	3970	73	2	1	5	2
106	0	0	1999	100	1738	55	2	1	5	2
107	0	0	1999	100	844	45	2	1	3	2
108	0	0	1999	100	3688	74	1	1	6	2
109	0	0	1999	100	2848	67	1	1	5	2
110	0	0	1999	100	1090	47	2	1	3	2
111	0	0	1999	292	826	49	2	1	3	2
112	0	0	1999	220	2086	61	1	1	5	2
113	0	0	1999	220	1744	58	2	1	5	2
114	0	0	1999	220	2118	60	1	1	5	2
115	0	0	1999	220	750	45	2	1	3	2
116	0	0	1999	220	1570	58	2	1	5	2
117	0	0	1999	220	326	33	2	1	2	2
118	0	0	1999	220	4292	77	1	1	6	2
119	0	0	1999	220	220	30	1	1	2	2
120	0	0	1999	220	262	32	2	1	2	2
121	0	0	1999	220	184	28	1	1	2	2
122	0	0	1999	220	180	28	1	1	2	2
123	0	0	1999	220	976	48	1	1	3	2
124	0	0	1999	220	1344	52	2	1	4	2
125	0	0	1999	220	2926	67	1	1	5	2
126	0	0	1999	220	544	41	1	1	3	2
127	0	0	1999	220	774	44	2	1	3	2
128	0	0	1999	220	452	37	2	1	2	2
129	0	0	1999	220	258	32	1	1	2	2
130	0	0	1999	220	190	29	2	1	2	2
131	0	0	1999	220	266	32	1	1	2	2
132	0	0	1999	220	196	29	1	1	0	2
133	0	0	1999	99	1846	59	1	1	4	3
134	0	0	1999	99	1312	53	2	1	4	3
135	0	0	1999	99	3302	73	2	1	5	3
136	0	0	1999	99	1258	50	2	1	4	3
137	0	0	1999	99	1848	57	1	1	6	3
138	0	0	1999	99	1246	51	2	1	4	3
139	0	0	1999	99	2038	59	2	1	4	3
140	0	0	1999	99	4738	77	1	1	6	3
141	0	0	1999	99	1248	51	2	1	4	3
142	0	0	1999	99	1072	48	1	1	3	3
143	0	0	1999	99	854	46	2	1	3	3
144	0	0	1999	99	2168	62	2	1	4	3
145	0	0	1999	99	1108	50	2	1	4	3
146	0	0	1999	99	1122	50	1	1	4	3
147	0	0	1999	99	2050	61	1	1	4	3
148	0	0	1999	99	1168	51	2	1	4	3
149	0	0	1999	99	1334	53	2	1	4	3
150	0	0	1999	99	964	47	2	1	3	3
151	0	0	1999	99	678	41	2	1	2	3
152	0	0	1999	99	1076	49	2	1	4	3
153	0	0	1999	99	1238	52	1	1	4	3
154	0	0	1999	99	1824	58	1	1	4	3
155	0	0	1999	99	860	44	1	1	3	3
156	0	0	1999	99	1260	50	2	1	4	3
157	0	0	1999	99	1154	52	1	1	4	3
158	0	0	1999	99	936	43	1	1	3	3
159	0	0	1999	99	1598	55	2	1	4	3
160	0	0	1999	99	2500	65	2	1	5	3
161	0	0	1999	99	1942	59	1	1	4	3
162	0	0	1999	270	770	47	2	1	4	3
163	0	0	1999	270	538	40	2	1	3	3
164	0	0	1999	270	3862	78	1	1	6	3
165	0	0	1999	270	878	48	2	1	4	3
166	0	0	1999	270	1438	55	1	1	4	3
167	0	0	1999	270	1592	59	2	1	5	3
168	0	0	1999	270	1250	53	2	1	4	3
169	0	0	1999	270	1226	51	1	1	4	3
170	0	0	1999	270	1326	53	1	1	4	3
171	0	0	1999	270	1104	49	2	1	4	3
172	0	0	1999	270	1982	63	2	1	5	3
173	0	0	1999	270	2480	64	1	1	5	3
174	0	0	1999	270	1142	51	2	1	4	3
175	0	0	1999	270	488	39	1	1	4	3
176	0	0	1999	270	1382	55	1	1	4	3
177	0	0	1999	256	1714	59	2	1	4	3
178	0	0	1999	256	754	45	1	1	4	3
179	0	0	1999	256	1618	61	1	1	5	3
180	0	0	1999	256	2122	64	2	1	5	3
181	0	0	1999	256	604	38	1	1	3	3
182	0	0	1999	256	2780	65	1	1	6	3
183	0	0	1999	256	2318	64	1	1	4	3
184	0	0	1999	256	1344	53	1	1	4	3
185	0	0	1999	256	1674	60	2	1	8	3
186	0	0	1999	256	1144	53	1	1	7	3
187	0	0	1999	256	1052	51	2	1	3	3
188	0	0	1999	172	2034	57	2	1	5	3
189	0	0	1999	172	674	42	2	1	3	3
190	0	0	1999	172	862	47	1	1	3	3
191	0	0	1999	172	612	40	1	1	3	3
192	0	0	1999	172	2528	64	2	1	4	3
193	0	0	1999	172	1516	55	1	1	4	3
194	0	0	1999	172	906	47	1	1	4	3
195	0	0	1999	172	434	38	2	1	3	3
196	0	0	1999	172	182	29	1	1	2	3
197	0	0	1999	172	230	31	1	1	2	3
198	0	0	1999	172	200	29	1	1	2	3
199	0	0	1999	172	222	29	1	1	2	3
200	0	0	1999	172	238	30	2	1	2	3
201	0	0	1999	172	176	28	2	1	2	3
202	0	0	1999	172	198	30	1	1	2	3
203	0	0	1999	172	168	29	1	1	2	3
204	0	0	1999	172	170	28	1	1	2	3
205	0	0	1999	172	204	30	2	1	2	3
206	0	0	1999	235	2496	68	1	1	6	4
207	0	0	1999	235	1198	50	2	1	3	4
208	0	0	1999	235	3678	75	1	1	5	4
209	0	0	1999	235	1036	50	1	1	4	4
210	0	0	1999	235	2898	73	1	1	5	4
211	0	0	1999	278	582	40	1	1	3	4
212	0	0	1999	278	986	48	2	1	4	4
213	0	0	1999	278	662	44	2	1	3	4
214	0	0	1999	278	270	33	1	1	2	4
215	0	0	1999	278	980	49	2	1	3	4
216	0	0	1999	278	1330	52	1	1	4	4
217	0	0	1999	278	364	36	2	1	2	4
218	0	0	1999	110	3190	68	2	1	6	4
219	0	0	1999	110	626	42	1	1	3	4
220	0	0	1999	110	788	46	1	1	3	4
221	0	0	1999	110	968	51	2	1	5	4
222	0	0	1999	110	1322	54	1	1	4	4
223	0	0	1999	110	1400	54	2	1	4	4
224	0	0	1999	110	942	48	2	1	4	4
225	0	0	1999	110	1104	53	2	1	4	4
226	0	0	1999	110	500	40	1	1	3	4
227	0	0	1999	110	296	33	2	1	2	4
228	0	0	1999	110	168	29	1	1	2	4
229	0	0	1999	110	370	36	1	1	3	4
230	0	0	1999	51	1544	53	2	2	4	1
231	0	0	1999	51	1520	53	2	2	4	1
232	0	0	1999	51	1912	58	1	2	6	1
233	0	0	1999	51	1144	49	2	2	4	1
234	0	0	1999	51	1472	51	2	2	4	1
235	0	0	1999	51	1418	51	2	2	5	1
236	0	0	1999	51	1330	49	2	2	3	1
237	0	0	1999	85	948	47	2	2	3	1
238	0	0	1999	200	2292	65	1	2	6	1
239	0	0	1999	200	2562	63	1	2	6	1
240	0	0	1999	100	1708	55	2	2	5	2
241	0	0	1999	100	1670	55	2	2	5	2
242	0	0	1999	100	1740	57	2	2	5	2
243	0	0	1999	100	2396	62	2	2	5	2
244	0	0	1999	220	3484	68	2	2	6	2
245	0	0	1999	99	2896	64	2	2	7	3
246	0	0	1999	99	1712	55	2	2	4	3
247	0	0	1999	99	1778	57	1	2	5	3
248	0	0	1999	99	1800	55	2	2	4	3
249	0	0	1999	99	4086	77	1	2	9	3
250	0	0	1999	99	1772	57	2	2	5	3
251	0	0	1999	99	2140	62	1	2	5	3
252	0	0	1999	99	1116	49	2	2	4	3
253	0	0	1999	99	1844	56	2	2	7	3
254	0	0	1999	99	1344	51	2	2	5	3
255	0	0	1999	270	1110	54	1	2	5	3
256	0	0	1999	270	2228	63	2	2	6	3
257	0	0	1999	270	1864	58	2	2	5	3
258	0	0	1999	270	1266	51	2	2	4	3
259	0	0	1999	270	1082	49	2	2	4	3
260	0	0	1999	256	2958	63	2	2	5	3
261	0	0	1999	256	3198	66	1	2	5	3
262	0	0	1999	256	2490	61	2	2	5	3
263	0	0	1999	256	3618	70	2	2	5	3
264	0	0	1999	256	3034	68	2	2	4	3
265	0	0	1999	172	2244	62	2	2	7	3
266	0	0	1999	172	1754	55	1	2	5	3
267	0	0	1999	172	178	28	1	2	2	3
268	0	0	1999	235	1578	54	2	2	4	4
269	0	0	1999	278	2130	59	2	2	5	4
270	0	0	1999	110	1304	50	1	2	4	4
271	0	0	1999	110	4098	74	2	2	8	4
272	0	0	1999	110	6390	88	1	2	8	4
273	0	0	1999	150	7854	90	1	4	7	2
274	0	0	1999	150	NA	NA	1	4	8	2
275	0	0	1999	100	6916	86	1	4	9	2
276	0	0	1999	100	2980	65	1	4	7	2
277	0	0	1999	220	4018	72	1	4	6	2
278	0	0	1999	270	2552	63	1	4	5	3
279	0	0	2000	57	1474	51	1	1	6	1
280	0	0	2000	57	1608	57	2	1	6	1
281	0	0	2000	57	830	47	1	1	3	1
282	0	0	2000	50	992	48	2	1	3	1
283	0	0	2000	121	552	40	1	1	2	1
284	0	0	2000	121	1744	58	1	1	4	1
285	0	0	2000	121	668	42	1	1	2	1
286	0	0	2000	121	448	36	1	1	2	1
287	0	0	2000	121	410	36	1	1	2	1
288	0	0	2000	121	1222	51	1	1	3	1
289	0	0	2000	102	1538	54	1	1	4	2
290	0	0	2000	102	2820	62	1	1	6	2
291	0	0	2000	102	1116	49	2	1	3	2
292	0	0	2000	102	4058	75	2	1	6	2
293	0	0	2000	102	544	40	1	1	2	2
294	0	0	2000	102	398	35	2	1	2	2
295	0	0	2000	102	514	39	2	1	2	2
296	0	0	2000	102	1124	48	2	1	4	2
297	0	0	2000	102	1038	48	1	1	3	2
298	0	0	2000	102	1470	53	2	1	4	2
299	0	0	2000	102	4348	75	1	1	6	2
300	0	0	2000	102	440	36	2	1	2	2
301	0	0	2000	102	1984	59	2	1	6	2
302	0	0	2000	102	1966	61	1	1	4	2
303	0	0	2000	102	1094	49	2	1	4	2
304	0	0	2000	102	986	46	2	1	3	2
305	0	0	2000	293	3370	71	2	1	6	2
306	0	0	2000	293	920	46	2	1	3	2
307	0	0	2000	293	2394	66	2	1	7	2
308	0	0	2000	237	986	47	1	1	4	2
309	0	0	2000	237	1712	59	1	1	4	2
310	0	0	2000	237	506	39	2	1	3	2
311	0	0	2000	237	844	44	2	1	3	2
312	0	0	2000	237	292	31	1	1	2	2
313	0	0	2000	237	1364	52	2	1	4	2
314	0	0	2000	237	1056	50	1	1	3	2
315	0	0	2000	237	1746	56	2	1	5	2
316	0	0	2000	285	3618	77	2	1	5	3
317	0	0	2000	285	1546	55	1	1	4	3
318	0	0	2000	285	3388	70	2	1	5	3
319	0	0	2000	285	1328	55	2	1	5	3
320	0	0	2000	285	358	34	1	1	2	3
321	0	0	2000	285	1346	55	2	1	6	3
322	0	0	2000	285	4500	79	2	1	7	3
323	0	0	2000	285	1994	61	1	1	4	3
324	0	0	2000	285	930	47	2	1	4	3
325	0	0	2000	285	454	38	1	1	2	3
326	0	0	2000	285	1694	58	2	1	5	3
327	0	0	2000	285	1394	55	1	1	5	3
328	0	0	2000	285	922	49	1	1	4	3
329	0	0	2000	285	2196	62	1	1	5	3
330	0	0	2000	285	1734	59	2	1	5	3
331	0	0	2000	285	932	52	1	1	5	3
332	0	0	2000	285	3724	80	2	1	8	3
333	0	0	2000	285	1352	57	2	1	5	3
334	0	0	2000	285	2152	59	2	1	5	3
335	0	0	2000	285	1468	56	2	1	5	3
336	0	0	2000	285	2490	67	1	1	5	3
337	0	0	2000	285	1222	53	2	1	4	3
338	0	0	2000	285	208	30	1	1	2	3
339	0	0	2000	270	1404	55	1	1	4	4
340	0	0	2000	270	2366	59	2	1	5	4
341	0	0	2000	270	794	44	1	1	3	4
342	0	0	2000	260	314	33	1	1	2	4
343	0	0	2000	260	456	38	2	1	3	4
344	0	0	2000	260	508	41	2	1	2	4
345	0	0	2000	146	2858	67	2	1	6	3
346	0	0	2000	146	246	29	1	1	2	3
347	0	0	2000	146	276	32	2	1	2	3
348	0	0	2000	50	1370	51	2	2	5	1
349	0	0	2000	121	2882	67	1	2	6	1
350	0	0	2000	121	1950	60	2	2	6	1
351	0	0	2000	121	2428	63	2	2	5	1
352	0	0	2000	293	1622	54	2	2	5	2
353	0	0	2000	293	4672	81	1	2	6	2
354	0	0	2000	285	4228	76	2	2	6	3
355	0	0	2000	285	3174	73	2	2	7	3
356	0	0	2000	285	2262	64	2	2	5	3
357	0	0	2000	285	4498	79	2	2	6	3
358	0	0	2000	121	4434	77	1	4	6	1
359	0	0	2000	121	5476	78	1	4	10	1
360	0	0	2000	102	NA	NA	1	4	9	2
361	0	0	2000	102	2014	56	1	4	6	2
362	0	0	2000	102	4334	80	1	4	6	2
363	0	0	2000	146	1886	57	1	4	5	3
364	0	0	2000	146	6450	91	1	4	9	3
365	0	0	2001	193	34	17	0	0	1	3
366	0	0	2001	55	854	43	1	1	4	1
367	0	0	2001	55	1884	58	1	1	6	1
368	0	0	2001	55	1332	51	1	1	6	1
369	0	0	2001	55	1770	55	1	1	4	1
370	0	0	2001	55	1916	57	2	1	4	1
371	0	0	2001	55	1430	53	1	1	3	1
372	0	0	2001	55	1146	50	1	1	4	1
373	0	0	2001	55	1824	57	1	1	6	1
374	0	0	2001	55	1174	49	2	1	3	1
375	0	0	2001	55	1320	49	2	1	3	1
376	0	0	2001	55	1226	51	1	1	5	1
377	0	0	2001	90	1818	60	1	1	5	1
378	0	0	2001	90	956	47	1	1	4	1
379	0	0	2001	90	366	33	1	1	2	1
380	0	0	2001	90	278	30	1	1	2	1
381	0	0	2001	90	270	31	1	1	2	1
382	0	0	2001	112	1026	47	1	1	3	1
383	0	0	2001	112	1158	49	1	1	3	1
384	0	0	2001	112	354	35	1	1	2	1
385	0	0	2001	112	958	46	2	1	3	1
386	0	0	2001	112	268	31	1	1	2	1
387	0	0	2001	112	576	40	2	1	3	1
388	0	0	2001	112	2174	60	2	1	5	1
389	0	0	2001	112	500	36	1	1	2	1
390	0	0	2001	112	856	45	1	1	3	1
391	0	0	2001	112	640	40	1	1	2	1
392	0	0	2001	112	172	26	1	1	1	1
393	0	0	2001	112	392	35	1	1	2	1
394	0	0	2001	112	326	34	2	1	2	1
395	0	0	2001	112	188	28	1	1	1	1
396	0	0	2001	112	220	28	1	1	1	1
397	0	0	2001	112	170	26	2	1	1	1
398	0	0	2001	199	2788	72	1	1	6	2
399	0	0	2001	199	2178	63	1	1	5	2
400	0	0	2001	199	778	47	2	1	3	2
401	0	0	2001	199	1562	56	2	1	5	2
402	0	0	2001	199	764	43	1	1	3	2
403	0	0	2001	199	1458	55	2	1	4	2
404	0	0	2001	199	2092	63	1	1	6	2
405	0	0	2001	199	968	49	2	1	4	2
406	0	0	2001	199	1040	48	2	1	4	2
407	0	0	2001	199	3100	67	2	1	6	2
408	0	0	2001	199	346	37	1	1	2	2
409	0	0	2001	199	514	38	2	1	4	2
410	0	0	2001	199	3154	68	1	1	6	2
411	0	0	2001	199	1354	51	2	1	3	2
412	0	0	2001	199	3154	71	1	1	6	2
413	0	0	2001	199	1692	59	2	1	5	2
414	0	0	2001	199	886	46	1	1	3	2
415	0	0	2001	199	484	39	1	1	2	2
416	0	0	2001	199	242	32	1	1	2	2
417	0	0	2001	98	1316	54	2	1	4	3
418	0	0	2001	98	2464	63	1	1	4	3
419	0	0	2001	98	1770	57	1	1	3	3
420	0	0	2001	98	820	43	2	1	3	3
421	0	0	2001	98	1546	56	1	1	5	3
422	0	0	2001	98	1864	60	1	1	5	3
423	0	0	2001	98	2092	59	1	1	4	3
424	0	0	2001	98	2884	67	2	1	5	3
425	0	0	2001	98	1506	53	2	1	4	3
426	0	0	2001	98	1154	49	2	1	3	3
427	0	0	2001	98	1800	54	1	1	4	3
428	0	0	2001	98	1356	52	1	1	4	3
429	0	0	2001	98	1482	54	2	1	4	3
430	0	0	2001	98	1186	49	1	1	3	3
431	0	0	2001	98	1522	55	1	1	4	3
432	0	0	2001	98	1528	54	2	1	4	3
433	0	0	2001	98	610	40	1	1	3	3
434	0	0	2001	98	2038	62	1	1	4	3
435	0	0	2001	98	924	46	2	1	3	3
436	0	0	2001	98	404	36	2	1	2	3
437	0	0	2001	98	1026	49	1	1	3	3
438	0	0	2001	98	1108	51	1	1	3	3
439	0	0	2001	98	1462	53	1	1	3	3
440	0	0	2001	98	1466	54	2	1	4	3
441	0	0	2001	98	1496	56	1	1	4	3
442	0	0	2001	220	1566	56	2	1	4	4
443	0	0	2001	220	1678	60	1	1	4	4
444	0	0	2001	125	1742	62	2	1	5	4
445	0	0	2001	125	2362	65	2	1	4	4
446	0	0	2001	140	2088	63	1	1	3	4
447	0	0	2001	140	1108	49	2	1	3	4
448	0	0	2001	140	1040	49	2	1	4	4
449	0	0	2001	140	768	45	1	1	4	4
450	0	0	2001	140	832	46	2	1	3	4
451	0	0	2001	140	1388	55	2	1	4	4
452	0	0	2001	140	1028	48	1	1	4	4
453	0	0	2001	140	634	41	2	1	3	4
454	0	0	2001	140	508	38	2	1	3	4
455	0	0	2001	228	3096	71	1	1	6	4
456	0	0	2001	228	2476	66	1	1	5	4
457	0	0	2001	228	798	49	2	1	4	4
458	0	0	2001	228	648	43	2	1	3	4
459	0	0	2001	228	542	41	2	1	4	4
460	0	0	2001	228	452	39	2	1	3	4
461	0	0	2001	228	356	34	2	1	2	4
462	0	0	2001	228	202	29	2	1	1	4
463	0	0	2001	228	194	29	2	1	2	4
464	0	0	2001	228	110	24	2	1	2	4
465	0	0	2001	228	94	23	2	1	1	4
466	0	0	2001	228	130	26	2	1	1	4
467	0	0	2001	228	52	19	2	1	1	4
468	0	0	2001	228	40	17	2	1	1	4
469	0	0	2001	228	46	18	2	1	1	4
470	0	0	2001	180	1432	52	2	1	3	3
471	0	0	2001	180	2280	62	1	1	6	3
472	0	0	2001	180	1228	52	1	1	4	3
473	0	0	2001	180	544	38	1	1	3	3
474	0	0	2001	180	686	42	2	1	3	3
475	0	0	2001	180	506	36	1	1	2	3
476	0	0	2001	180	758	43	1	1	3	3
477	0	0	2001	180	1356	50	1	1	6	3
478	0	0	2001	180	994	47	1	1	4	3
479	0	0	2001	180	1608	54	2	1	4	3
480	0	0	2001	180	1014	47	1	1	3	3
481	0	0	2001	180	570	39	1	1	3	3
482	0	0	2001	180	710	44	1	1	3	3
483	0	0	2001	193	2834	71	2	1	5	3
484	0	0	2001	193	2018	62	2	1	4	3
485	0	0	2001	193	1746	57	1	1	4	3
486	0	0	2001	193	2552	66	1	1	5	3
487	0	0	2001	193	840	47	2	1	4	3
488	0	0	2001	193	240	31	2	1	2	3
489	0	0	2001	193	132	25	1	1	1	3
490	0	0	2001	193	212	29	2	1	2	3
491	0	0	2001	193	148	25	1	1	1	3
492	0	0	2001	193	152	27	2	1	2	3
493	0	0	2001	122	3372	72	1	1	6	3
494	0	0	2001	122	2314	68	2	1	5	3
495	0	0	2001	122	1680	61	2	1	5	3
496	0	0	2001	122	1272	54	2	1	4	3
497	0	0	2001	122	792	48	1	1	3	3
498	0	0	2001	122	2402	66	1	1	5	3
499	0	0	2001	122	1592	55	2	1	4	3
500	0	0	2001	122	1956	63	2	1	5	3
501	0	0	2001	122	1016	47	1	1	3	3
502	0	0	2001	122	208	29	1	1	2	3
503	0	0	2001	122	140	25	1	1	2	3
504	0	0	2001	122	1344	54	2	1	4	3
505	0	0	2001	122	1876	61	2	1	5	3
506	0	0	2001	122	694	43	1	1	3	3
507	0	0	2001	122	164	27	2	1	2	3
508	0	0	2001	122	46	18	2	1	1	3
509	0	0	2001	122	38	17	2	1	1	3
510	0	0	2001	256	2986	67	1	1	5	3
511	0	0	2001	256	900	48	2	1	3	3
512	0	0	2001	256	1240	52	1	1	3	3
513	0	0	2001	256	856	46	2	1	3	3
514	0	0	2001	256	1040	48	1	1	4	3
515	0	0	2001	256	482	38	2	1	3	3
516	0	0	2001	256	2624	69	1	1	6	3
517	0	0	2001	256	776	45	2	1	3	3
518	0	0	2001	256	816	44	1	1	3	3
519	0	0	2001	283	2450	65	2	1	6	2
520	0	0	2001	283	1534	55	2	1	4	2
521	0	0	2001	283	2342	62	1	1	5	2
522	0	0	2001	283	1608	54	1	1	6	2
523	0	0	2001	283	2608	59	1	1	7	2
524	0	0	2001	283	394	36	2	1	3	2
525	0	0	2001	283	502	38	1	1	3	2
526	0	0	2001	283	2692	63	1	1	8	2
527	0	0	2001	283	1384	49	1	1	5	2
528	0	0	2001	283	1292	53	1	1	3	2
529	0	0	2001	283	982	47	2	1	4	2
530	0	0	2001	260	3358	74	2	1	6	2
531	0	0	2001	260	360	35	2	1	2	2
532	0	0	2001	260	472	39	1	1	3	2
533	0	0	2001	276	154	26	1	1	1	2
534	0	0	2001	110	1376	52	1	1	4	2
535	0	0	2001	110	2548	62	1	1	5	2
536	0	0	2001	110	1614	54	1	1	4	2
537	0	0	2001	110	1374	51	1	1	4	2
538	0	0	2001	110	1516	54	1	1	3	2
539	0	0	2001	110	924	48	2	1	3	2
540	0	0	2001	110	2546	63	1	1	4	2
541	0	0	2001	110	1416	52	1	1	4	2
542	0	0	2001	110	420	35	2	1	2	2
543	0	0	2001	110	984	54	2	1	4	2
544	0	0	2001	110	1130	49	2	1	3	2
545	0	0	2001	110	3788	65	1	1	7	2
546	0	0	2001	55	2158	60	2	2	5	1
547	0	0	2001	55	1726	54	1	2	5	1
548	0	0	2001	55	1762	57	2	2	5	1
549	0	0	2001	55	1240	51	2	2	4	1
550	0	0	2001	55	1594	55	2	2	5	1
551	0	0	2001	55	1180	51	2	2	4	1
552	0	0	2001	55	1236	51	2	2	4	1
553	0	0	2001	55	1000	44	2	2	4	1
554	0	0	2001	55	2388	63	2	2	5	1
555	0	0	2001	55	1704	54	2	2	5	1
556	0	0	2001	55	1236	49	2	2	4	1
557	0	0	2001	55	1406	53	2	2	6	1
558	0	0	2001	55	1500	55	2	2	5	1
559	0	0	2001	55	1390	54	2	2	5	1
560	0	0	2001	55	1372	53	2	2	4	1
561	0	0	2001	90	3446	70	2	2	6	1
562	0	0	2001	112	2724	65	2	2	7	1
563	0	0	2001	98	1798	57	2	2	6	3
564	0	0	2001	98	1682	54	2	2	6	3
565	0	0	2001	220	9166	94	2	2	8	4
566	0	0	2001	125	2614	61	1	2	7	4
567	0	0	2001	228	1828	57	2	2	5	4
568	0	0	2001	180	2672	66	1	2	7	3
569	0	0	2001	180	1740	59	2	2	5	3
570	0	0	2001	180	564	38	2	2	3	3
571	0	0	2001	193	2508	63	2	2	6	3
572	0	0	2001	193	3472	70	2	2	6	3
573	0	0	2001	193	2496	64	2	2	7	3
574	0	0	2001	122	3018	65	2	2	7	3
575	0	0	2001	256	2082	60	2	2	5	3
576	0	0	2001	256	1714	56	2	2	7	3
577	0	0	2001	283	1316	49	2	2	6	2
578	0	0	2001	283	1114	46	2	2	6	2
579	0	0	2001	283	1790	55	2	2	7	2
580	0	0	2001	276	3206	71	2	2	7	2
581	0	0	2001	110	2128	59	2	2	4	2
582	0	0	2001	110	2240	62	2	2	5	2
583	0	0	2001	110	2092	60	2	2	4	2
584	0	0	2001	110	3652	72	2	2	5	2
585	0	0	2001	110	1828	55	2	2	4	2
586	0	0	2001	110	2138	59	2	2	6	2
587	0	0	2001	110	2224	63	2	2	4	2
588	0	0	2001	110	1784	56	1	2	4	2
