ID	SampleDepth	Sources	RelativeDepth
214	2267	2.59	229.92
215	2505	1.37	-7.85
216	2471	1.07	26.02
217	2404	0.76	93.26
218	1300	31.08	2700.13
219	1369	25.48	2630.79
220	1127	25.02	2873.35
221	1335	24.55	2665.3
222	1195	22.07	2804.59
223	1231	21.91	2769.45
224	1503	21.76	2497.26
225	1161	21.13	2838.65
226	1402	20.82	2597.57
227	1435	20.82	2564.77
228	1469	20.2	2530.98
229	1056	19.27	2944.15
230	1091	18.18	2908.59
231	1636	18.18	2363.97
232	1536	17.56	2464.24
233	1020	16.47	2979.63
234	1569	16.16	2430.69
235	985	15.38	3014.83
236	951	14.45	3049.44
237	1669	12.59	2330.99
238	1702	11.81	2297.86
239	1804	11.03	2195.55
240	1771	10.88	2229.46
241	1737	9.32	2263.29
242	1872	8.24	2128.1
243	1974	7.15	2026.16
244	1838	6.06	2161.57
245	1905	5.9	2094.65
246	2041	5.59	1958.7
247	2007	4.66	1992.73
248	2140	4.66	1859.87
249	2074	4.2	1925.83
250	2107	4.2	1892.68
251	2207	3.57	1792.94
252	2240	3.57	1760.18
253	2173	3.42	1826.53
254	2308	3.42	1692.02
255	2443	2.18	1556.5
256	2409	2.02	1590.71
257	2375	1.86	1624.76
258	2476	1.86	1523.6
259	2510	1.71	1490.22
260	2341	1.55	1658.63
261	2577	1.4	1423.31
262	2644	1.4	1355.72
263	2543	1.24	1456.76
264	2747	0.93	1252.83
265	2781	0.93	1218.64
266	2815	0.93	1185.43
267	2849	0.93	1151.22
268	2678	0.78	1321.66
269	2713	0.78	1287.47
270	2916	0.47	1084.17
271	2882	0.16	1118.04
272	2628	2.32	2156.17
273	2661	2.01	2122.82
274	2594	1.7	2189.69
275	2996	1.7	1787.97
276	3129	1.39	1655.04
277	2695	1.23	2089.16
278	2896	1.23	1887.96
279	3096	1.23	1688.28
280	3431	1.08	1353.34
281	3464	1.08	1319.56
282	2795	0.93	1988.89
283	3062	0.93	1721.57
284	3163	0.93	1621.27
285	3196	0.93	1588
286	3229	0.93	1554.75
287	3296	0.93	1487.77
288	3733	0.93	1051.03
289	4204	0.93	580.28
290	2729	0.77	2055.45
291	3029	0.77	1754.61
292	3531	0.77	1252.64
293	2829	0.62	1955.16
294	2863	0.62	1921.31
295	2963	0.62	1821.07
296	3498	0.62	1286.09
297	3633	0.62	1151.4
298	3666	0.62	1118.37
299	3397	0.46	1386.93
300	3565	0.46	1218.81
301	3766	0.46	1017.53
302	3834	0.46	950.38
303	3901	0.46	883.08
304	4002	0.46	782.23
305	4103	0.46	681.23
306	4306	0.46	478.12
307	2762	0.31	2022.07
308	3363	0.31	1420.62
309	3699	0.31	1084.65
310	3867	0.31	916.99
311	3968	0.31	815.58
312	4136	0.31	647.52
313	4238	0.31	546.34
314	3330	0.15	1454.1
315	4036	0.15	748.32
316	4170	0.15	613.79
317	4441	0.15	342.58
318	4475	0.15	308.68
319	3800	0	983.91
320	4069	0	714.77
321	4340	0	444.2
322	4374	0	410.31
323	4408	0	376.5
324	4509	0	274.9
325	4543	0	240.87
326	4577	0	206.65
327	1575	42.53	1233.76
328	1605	37.5	1203.72
329	1419	30.03	1389.69
330	1451	29.22	1358.21
331	1483	28.57	1326.49
332	1636	26.46	1173.11
333	1514	25.33	1295.09
334	1322	25.16	1487.16
335	1696	24.35	1112.73
336	1387	23.86	1422.1
337	1727	23.22	1081.82
338	1758	21.92	1050.7
339	1790	21.59	1019.23
340	1354	20.46	1454.97
341	1289	20.29	1519.77
342	1666	20.13	1142.66
343	1821	19.48	988.12
344	1884	18.67	925.04
345	1257	18.34	1552.14
346	1192	18.18	1616.82
347	1916	16.88	893.39
348	1095	15.58	1714.24
349	1030	15.26	1779.07
350	930	15.1	1878.99
351	1128	15.1	1681.5
352	1160	14.45	1649.32
353	1062	13.96	1746.58
354	2333	13.64	476.36
355	997	12.99	1812.44
356	1947	12.34	862.21
357	2010	11.04	798.74
358	2074	10.39	734.64
359	1978	10.07	830.75
360	2235	9.58	573.74
361	963	9.42	1845.66
362	2365	8.28	443.69
363	2527	8.28	282.41
364	2301	8.12	508.42
365	2430	7.95	378.95
366	2397	7.79	411.63
367	2268	7.31	540.9
368	2107	6.82	702.27
369	2042	6.49	767.12
370	2203	6.49	606.34
371	2463	6.01	346.24
372	2558	5.19	250.9
373	2139	4.22	669.95
374	2622	4.06	187.46
375	2653	4.06	155.92
376	2716	2.44	92.61
377	2748	1.95	61.15
378	2590	1.79	218.78
379	2685	1.46	124.39
380	692	13.59	3326
381	836	12.58	3182
382	801	10.84	3217
383	765	10.56	3253
384	728	9.98	3290
385	1127	9.4	2891
386	1091	9.11	2927
387	1166	8.39	2852
388	1201	6.07	2817
389	1239	6.07	2779
390	1495	5.49	2523
391	1532	4.34	2486
392	2307	3.76	1711
393	1568	3.47	2450
394	1604	3.04	2414
395	1865	2.75	2153
396	2419	2.75	1599
397	2382	2.6	1636
398	2051	2.17	1967
399	2346	2.17	1672
400	1902	2.02	2116
401	1939	2.02	2079
402	2455	2.02	1563
403	2861	1.88	1157
404	2715	1.59	1303
405	2789	1.59	1229
406	2753	1.3	1265
407	2825	1.3	1193
408	3118	1.3	900
409	1977	1.01	2041
410	2013	1.01	2005
411	3190	1.01	828
412	3154	0.72	864
413	3521	0.58	497
414	3225	0.43	793
415	3265	0.43	753
416	3558	0.43	460
417	3596	0.43	422
418	3629	0.43	389
419	3668	0.29	350
420	543	33.34	3358
421	580	32.57	3321
422	505	28.57	3396
423	617	26.1	3284
424	691	22.29	3210
425	656	21.72	3245
426	766	17.72	3135
427	730	15.24	3171
428	802	14.48	3099
429	840	13.52	3061
430	1023	10.1	2878
431	913	9.72	2988
432	1207	9.72	2694
433	1096	9.33	2805
434	1355	9.33	2546
435	1170	9.14	2731
436	1282	8.95	2619
437	1060	8.76	2841
438	1134	8.76	2767
439	1242	8.76	2659
440	877	7.43	3024
441	1317	7.43	2584
442	951	7.05	2950
443	1392	7.05	2509
444	1730	5.33	2171
445	1431	4.95	2470
446	2358	4.19	1543
447	1879	4	2022
448	1470	3.24	2431
449	2066	3.24	1835
450	2396	3.24	1505
451	2320	3.05	1581
452	1805	2.67	2096
453	1953	2.67	1948
454	2213	2.67	1688
455	1768	2.48	2133
456	2503	2.48	1398
457	2538	2.48	1363
458	2578	2.48	1323
459	1844	2.29	2057
460	2650	2.29	1251
461	1991	2.1	1910
462	2140	2.1	1761
463	2175	2.1	1726
464	2687	2.1	1214
465	2468	1.9	1433
466	1918	1.71	1983
467	2029	1.71	1872
468	2250	1.71	1651
469	2722	1.71	1179
470	2758	1.71	1143
471	2431	1.52	1470
472	2613	1.52	1288
473	2102	1.33	1799
474	2794	1.33	1107
475	2833	1.33	1068
476	634	27.8	3637
477	599	27.24	3672
478	709	21.46	3562
479	671	19.22	3600
480	781	17.54	3490
481	744	17.35	3527
482	890	16.23	3381
483	854	15.49	3417
484	1183	13.62	3088
485	1073	12.87	3198
486	927	11.75	3344
487	818	11.2	3453
488	1110	10.82	3161
489	1219	10.64	3052
490	999	10.45	3272
491	1292	10.26	2979
492	963	9.7	3308
493	1330	9.7	2941
494	1035	9.52	3236
495	1259	8.58	3012
496	1367	7.09	2904
497	1402	6.72	2869
498	1440	6.16	2831
499	2452	6.16	1819
500	1547	5.41	2724
501	1475	5.22	2796
502	1584	5.22	2687
503	1511	4.85	2760
504	2560	4.29	1711
505	2164	3.92	2107
506	2487	3.92	1784
507	2524	3.92	1747
508	1621	3.73	2650
509	1911	3.73	2360
510	2380	3.73	1891
511	1877	3.17	2394
512	2201	3.17	2070
513	2344	3.17	1927
514	2019	2.99	2252
515	2275	2.99	1996
516	1983	2.8	2288
517	2056	2.8	2215
518	2595	2.8	1676
519	2740	2.8	1531
520	2236	2.61	2035
521	2307	2.43	1964
522	2668	2.43	1603
523	2777	2.43	1494
524	1947	2.24	2324
525	2093	2.24	2178
526	2128	1.87	2143
527	2706	1.87	1565
528	2631	1.68	1640
529	2883	1.68	1388
530	2919	1.68	1352
531	2812	1.49	1459
532	2849	1.49	1422
533	2957	1.31	1314
534	591.24	78.66923996	3401.76
535	554.97	77.93401342	3438.03
536	518.7	59.55334988	3474.3
537	627.51	56.61244371	3365.49
538	663.78	51.28205128	3329.22
539	700.05	38.96700671	3292.95
540	772.59	34.37184082	3220.41
541	808.86	31.98235456	3184.14
542	736.32	27.57099531	3256.68
543	990.21	23.15963606	3002.79
544	917.67	22.97582943	3075.33
545	845.13	22.42440952	3147.87
546	953.94	21.13776307	3039.06
547	1026.48	20.03492326	2966.52
548	881.4	18.74827681	3111.6
549	1099.02	17.82924364	2893.98
550	1316.64	16.54259719	2676.36
551	1135.29	15.99117728	2857.71
552	1171.56	15.80737065	2821.44
553	1244.1	14.33691756	2748.9
554	1207.83	14.15311093	2785.17
555	1280.37	14.15311093	2712.63
556	1389.18	11.9474313	2603.82
557	1352.91	11.21220476	2640.09
558	1497.99	10.10936495	2495.01
559	1461.72	8.8227185	2531.28
560	1425.45	8.271298594	2567.55
561	1534.26	7.536072052	2458.74
562	1788.15	4.778972521	2204.85
563	1896.96	4.41135925	2096.04
564	1860.69	3.859939344	2132.31
565	1969.5	3.676132708	2023.5
566	2404.74	3.676132708	1588.26
567	2477.28	3.676132708	1515.72
568	1933.23	3.492326073	2059.77
569	2005.77	3.308519438	1987.23
570	1824.42	3.124712802	2168.58
571	2368.47	3.124712802	1624.53
572	2259.66	2.940906167	1733.34
573	2767.44	2.940906167	1225.56
574	2694.9	2.757099531	1298.1
575	2586.09	2.573292896	1406.91
576	2731.17	2.573292896	1261.83
577	2078.31	2.38948626	1914.69
578	2441.01	2.38948626	1551.99
579	2513.55	2.38948626	1479.45
580	2622.36	2.38948626	1370.64
581	2150.85	2.205679625	1842.15
582	2658.63	2.205679625	1334.37
583	2042.04	2.02187299	1950.96
584	2295.93	2.02187299	1697.07
585	2549.82	2.02187299	1443.18
586	2114.58	1.838066354	1878.42
587	2223.39	1.470453083	1769.61
588	2187.12	1.286646448	1805.88
589	2803.71	1.102839813	1189.29
590	598	53.37	4212
591	631	51.32	4179
592	700	42.42	4110
593	666	38.32	4144
594	1317	37.29	3493
595	1352	36.27	3458
596	1417	32.16	3393
597	1386	31.82	3424
598	938	28.74	3872
599	1009	28.74	3801
600	974	26.34	3836
601	1652	26	3158
602	1043	25.66	3767
603	1719	25.66	3091
604	1686	22.24	3124
605	2048	15.05	2762
606	1751	14.71	3059
607	2080	12.66	2730
608	2015	11.63	2795
609	2378	10.95	2432
610	2114	8.9	2696
611	2345	6.16	2465
612	2711	5.47	2099
613	2412	4.11	2398
614	2445	4.11	2365
615	2744	4.11	2066
616	2779	3.42	2031
617	3044	3.42	1766
618	3441	2.39	1369
619	3473	2.39	1337
620	3742	2.05	1068
621	3776	2.05	1034
622	3140	1.71	1670
623	3406	1.71	1404
624	2810	1.37	2000
625	3074	1.37	1736
626	3810	1.37	1000
627	3841	1.37	969
628	4109	1.37	701
629	4174	1.03	636
630	4141	0.68	669
631	4206	0.68	604
632	4766	0.68	44
633	4797	0.68	13
634	4866	0.68	-56
635	3108	0.34	1702
636	3509	0.34	1301
637	4437	0.34	373
638	4469	0.34	341
639	4502	0.34	308
640	4831	0	-21
641	724	28.7	4084
642	858	27.59	3950
643	689	24.24	4119
644	655	23.97	4153
645	823	21.46	3985
646	1185	19.79	3623
647	758	18.95	4050
648	924	17.83	3884
649	1252	17.83	3556
650	1087	17.28	3721
651	1216	17.28	3592
652	556	16.72	4252
653	891	16.72	3917
654	1152	16.72	3656
655	956	16.44	3852
656	1054	16.44	3754
657	1651	16.16	3157
658	1119	15.88	3689
659	790	15.05	4018
660	623	14.49	4185
661	987	14.21	3821
662	1684	14.21	3124
663	1022	13.1	3786
664	1718	12.26	3090
665	1783	11.37	3025
666	588	8.64	4220
667	1749	6.13	3059
668	2343	5.29	2465
669	2375	4.74	2433
670	2408	4.74	2400
671	3093	1.95	1715
672	3811	1.95	997
673	3160	1.39	1648
674	4424	1.39	384
675	3877	1.34	931
676	3125	1.11	1683
677	3192	1	1616
678	4488	0.84	320
679	3746	0.56	1062
680	3778	0.56	1030
681	4551	0.33	257
682	4455	0.28	353
683	4521	0.28	287
684	580	36.33	4148
685	516	31.63	4212
686	549	31.42	4179
687	709	26.5	4019
688	612	25.43	4116
689	1224	25.01	3504
690	678	24.37	4050
691	646	22.23	4082
692	741	22.23	3987
693	1189	22.23	3539
694	1125	21.59	3603
695	867	20.73	3861
696	1617	20.3	3111
697	1649	20.09	3079
698	1030	19.66	3698
699	1684	19.66	3044
700	772	18.59	3956
701	1092	18.59	3636
702	1158	18.59	3570
703	804	17.74	3924
704	898	17.53	3830
705	834	16.46	3894
706	1748	16.16	2980
707	963	15.18	3765
708	1718	14.96	3010
709	995	14.53	3733
710	931	13.04	3797
711	1063	13.04	3665
712	2339	9.4	2389
713	2307	7.91	2421
714	2405	5.13	2323
715	2371	4.49	2357
716	2435	3.85	2293
717	3059	2.35	1669
718	3028	1.92	1700
719	3772	1.92	956
720	3157	1.8	1571
721	3124	1.71	1604
722	3740	1.28	988
723	3803	1.28	925
724	3092	1.07	1636
725	3833	1.03	895
726	3707	0.85	1021
727	4462	0.64	266
728	4401	0.43	327
729	4432	0.21	296
730	4368	0	360
731	4494	0	234
732	1508	46.69	1419
733	1544	40.16	1383
734	1330	35.93	1597
735	1147	35.54	1780
736	640	35.35	2287
737	1111	34.78	1816
738	1578	34.2	1349
739	1686	34.2	1241
740	1291	34.01	1636
741	1614	33.05	1313
742	1721	32.28	1206
743	604	31.51	2323
744	1437	30.93	1490
745	1218	29.97	1709
746	567	29.59	2360
747	1401	29.01	1526
748	1183	28.63	1744
749	1795	28.24	1132
750	1364	27.86	1563
751	1830	27.86	1097
752	673	27.47	2254
753	1473	27.28	1454
754	1757	26.71	1170
755	928	24.21	1999
756	745	22.67	2182
757	1075	22.67	1852
758	1868	22.67	1059
759	856	22.48	2071
760	1038	21.52	1889
761	708	20.94	2219
762	818	20.75	2109
763	781	20.56	2146
764	1900	20.37	1027
765	963	19.79	1964
766	531	18.83	2396
767	1938	17.29	989
768	1974	16.52	953
769	1001	15.18	1926
770	2191	8.45	736
771	2228	6.92	699
772	2296	5.76	631
773	2262	5.19	665
774	2512	3.46	415
775	2548	3.07	379
776	2618	3.07	309
777	2583	2.88	344
778	2866	2.69	61
779	2901	2.11	26
780	2831	1.73	96
