TransectName	Samples	Transect	Time	R	ROCK    	LITTER  	ML     	BARESOIL	FallPrec	SprPrec 	SumPrec 	WinPrec 	FallTmax	SprTmax 	SumTmax 	WinTmax 	FallTmin	SprTmin 	SumTmin 	WinTmin 	PCTSAND	PCTSILT	PCTOrgC
D_12_74 	18	3	1974	18	27	15	0	7	68.31999969	65.77999878	88.63999939	116.8399963	13.22999954	10.09000015	22.59000015	-1.289999962	-2.309999943	-4.300000191	3.319999933	-11.92000008	14	46	0.0363
D_12_81 	19	3	1981	12	10	37	0	0	57.40000153	87.12000275	133.0899963	67.05000305	14.56999969	10.42000008	21.95999908	1.899999976	-2.690000057	-3.029999971	3.059999943	-11.27000046	14	46	0.0363
D_12_89 	20	3	1989	11	17	17	0	33	17.52000046	101.3399963	120.1399994	128.0099945	15.93000031	11	22.05999947	-2.769999981	-2.25	-4.110000134	3.809999943	-14.47999954	14	46	0.0363
D_12_94 	21	3	1994	7	26.5	14	0	17.5	21.07999992	60.45000076	125.2200012	88.38999939	13.46000004	12.96000004	22.72999954	-0.159999996	-3.470000029	-3.140000105	3.099999905	-12.93000031	14	46	0.0363
D_12_02 	22	3	2002	10	36	19	1	4	29.20999908	36.06000137	72.38999939	79.75	15.27000046	9.880000114	22.20999908	-1.25999999	-1.950000048	-5.090000153	3.109999895	-13.27000046	14	46	0.0363
F_11_58 	23	4	1958	8	53	10	0	20	33.77999878	107.9499969	181.6100006	105.1500015	13.14000034	11.92000008	21.26000023	-0.200000003	-3.160000086	-3.299999952	3.24000001	-12.10999966	20	42	0.04974
F_11_62 	24	4	1962	9	59	5	3	13	143.5099945	73.40000153	125.7300034	173.4799957	10.77999973	11.38000011	20.95000076	-2.460000038	-3.779999971	-3.450000048	2.680000067	-14.26000023	20	42	0.04974
F_11_67 	25	4	1967	6	45	9	1	30	56.38000107	83.05000305	121.1500015	117.5999985	14.55000019	9.039999962	21.55999947	-0.589999974	-2.420000076	-5.460000038	3.380000114	-12.07999992	20	42	0.04974
F_11_74 	26	4	1974	12	41	12	0	7	68.31999969	65.77999878	88.63999939	116.8399963	13.35999966	10.22000027	22.71999931	-1.159999967	-2.190000057	-4.179999828	3.440000057	-11.80000019	20	42	0.04974
F_11_81 	27	4	1981	13	35	24	0	3	57.40000153	87.12000275	133.0899963	67.05000305	14.69999981	10.55000019	22.10000038	2.019999981	-2.559999943	-2.900000095	3.190000057	-11.14999962	20	42	0.04974
F_11_89 	28	4	1989	10	44	10	0	12	17.52000046	101.3399963	120.1399994	128.0099945	16.05999947	11.14000034	22.20000076	-2.640000105	-2.130000114	-3.980000019	3.930000067	-14.35999966	20	42	0.04974
F_11_94 	29	4	1994	8	53.5	18	0	7.5	21.07999992	60.45000076	125.2200012	88.38999939	13.59000015	13.09000015	22.86000061	-0.039999999	-3.349999905	-3.019999981	3.230000019	-12.81000042	20	42	0.04974
F_11_02 	30	4	2002	8	59	9	5	5	29.20999908	36.06000137	72.38999939	79.75	15.39999962	10.01000023	22.35000038	-1.129999995	-1.830000043	-4.960000038	3.24000001	-13.14999962	20	42	0.04974
G_12_58 	31	5	1958	13	15	23	0	20	41.13999939	101.8499985	134.8699951	89.66000366	13.21000004	11.86999989	21.37999916	-0.170000002	-3.25	-3.420000076	3.24000001	-12.32999992	20	35	0.05784
G_12_62 	32	5	1962	16	20	21	0	19	153.4100037	118.6100006	161.7899933	213.8600006	10.92000008	11.43999958	21.09000015	-2.380000114	-3.75999999	-3.49000001	2.710000038	-14.35000038	20	35	0.05784
G_12_67 	33	5	1967	9	4	51	0	13	75.43000031	77.72000122	151.3800049	170.1799927	14.56999969	9.25	21.59000015	-0.589999974	-2.460000038	-5.429999828	3.339999914	-12.25	20	35	0.05784
G_12_74 	34	5	1974	14	8	34	2	2	72.63999939	23.87000084	91.44000244	143	13.51000023	10.35999966	22.80999947	-1.039999962	-2.180000067	-4.260000229	3.369999886	-11.85000038	20	35	0.05784
G_12_81 	35	5	1981	11	5	28	0	1	41.65000153	80.26000214	110.4899979	143.5099945	14.88000011	10.68999958	22.23999977	2.089999914	-2.630000114	-2.970000029	3.210000038	-11.36999989	20	35	0.05784
G_12_89 	36	5	1989	13	4	30	5	11	9.899999619	107.9499969	119.1200027	169.1600037	16.20999908	11.22000027	22.32999992	-2.349999905	-2.230000019	-4.059999943	3.940000057	-14.48999977	20	35	0.05784
G_12_94 	37	5	1994	11	2	32	0	11	32	65.77999878	125.2200012	120.1399994	13.65999985	13.15999985	22.98999977	-0.01	-3.410000086	-3.089999914	3.25999999	-13.10999966	20	35	0.05784
G_12_02 	38	5	2002	12	8	29	7	5	48.50999832	77.47000122	108.7099991	105.1500015	15.35999966	9.899999619	22.44000053	-1.149999976	-1.980000019	-4.949999809	3.25	-13.31000042	20	35	0.05784
I_12_58 	39	6	1958	9	5	32	0	30	41.13999939	101.8499985	134.8699951	89.66000366	13.35999966	12.02999973	21.54000092	-0.02	-3.109999895	-3.269999981	3.380000114	-12.18999958	28	36	0.0564
I_12_62 	40	6	1962	10	7	20	0	37	153.4100037	118.6100006	161.7899933	213.8600006	11.07999992	11.59000015	21.23999977	-2.230000019	-3.609999895	-3.349999905	2.859999895	-14.22000027	28	36	0.0564
I_12_67 	41	6	1967	14	5	29	3	12	75.43000031	77.72000122	151.3800049	170.1799927	14.72000027	9.399999619	21.75	-0.439999998	-2.319999933	-5.28000021	3.49000001	-12.11999989	28	36	0.0564
I_12_74 	42	6	1974	14	6	19	0	13	72.63999939	23.87000084	91.44000244	143	13.65999985	10.51000023	22.96999931	-0.889999986	-2.029999971	-4.119999886	3.519999981	-11.71000004	28	36	0.0564
I_12_81 	43	6	1981	10	3	23	0	9	41.65000153	80.26000214	110.4899979	143.5099945	15.02999973	10.84000015	22.38999939	2.230000019	-2.480000019	-2.829999924	3.359999895	-11.22999954	28	36	0.0564
I_12_89 	44	6	1989	14	2	32	6	4	9.899999619	107.9499969	119.1200027	169.1600037	16.36000061	11.36999989	22.48999977	-2.210000038	-2.079999924	-3.920000076	4.090000153	-14.35000038	28	36	0.0564
I_12_94 	45	6	1994	9	3	22.5	0	16.5	32	65.77999878	125.2200012	120.1399994	13.81999969	13.31000042	23.14999962	0.119999997	-3.25999999	-2.950000048	3.410000086	-12.97000027	28	36	0.0564
I_12_02 	46	6	2002	12	0	28	2	17	48.50999832	77.47000122	108.7099991	105.1500015	15.51000023	10.05000019	22.60000038	-1.00999999	-1.830000043	-4.809999943	3.400000095	-13.17000008	28	36	0.0564
K_11_62 	47	7	1962	11	20	26	1	27	153.4100037	118.6100006	161.7899933	213.8600006	12.27000046	12.81999969	22.48999977	-1.070000052	-2.420000076	-2.140000105	4.059999943	-13.02000046	30	32	0.05312
K_11_67 	48	7	1967	12	7	29	1	26	75.43000031	77.72000122	151.3800049	170.1799927	15.97999954	10.56000042	23.04000092	0.74000001	-1.100000024	-4.119999886	4.71999979	-10.88000011	30	32	0.05312
K_11_74 	49	7	1974	14	11	23	0	0	72.63999939	23.87000084	91.44000244	143	14.86999989	11.69999981	24.23999977	0.239999995	-0.829999983	-2.890000105	4.769999981	-10.52000046	30	32	0.05312
K_11_81 	50	7	1981	9	6	40	0	0	41.65000153	80.26000214	110.4899979	143.5099945	16.23999977	12.02999973	23.63999939	3.420000076	-1.25	-1.600000024	4.570000172	-9.970000267	30	32	0.05312
K_11_94 	51	7	1994	5	0	14.5	0	35	32	65.77999878	125.2200012	120.1399994	15.06999969	14.56000042	24.42000008	1.320000052	-2.039999962	-1.720000029	4.619999886	-11.68000031	30	32	0.05312
K_11_02 	52	7	2002	12	15	21	7	7	48.50999832	77.47000122	108.7099991	105.1500015	16.80999947	11.35000038	23.87999916	0.189999998	-0.560000002	-3.619999886	4.610000134	-11.93999958	30	32	0.05312
L_11_62 	53	8	1962	9	25	24	2	20	153.4100037	118.6100006	161.7899933	213.8600006	12.39000034	12.93000031	22.61000061	-0.959999979	-2.319999933	-2.029999971	4.170000076	-12.92000008	32	33	0.04641
L_11_67 	54	8	1967	10	23	15	4	20	75.43000031	77.72000122	151.3800049	170.1799927	16.10000038	10.67000008	23.15999985	0.850000024	-1	-4.010000229	4.829999924	-10.77999973	32	33	0.04641
L_11_74 	55	8	1974	16	14	15	0	14	72.63999939	23.87000084	91.44000244	143	14.97999954	11.81000042	24.36000061	0.349999994	-0.720000029	-2.779999971	4.880000114	-10.42000008	32	33	0.04641
L_11_81 	56	8	1981	12	11	18	0	4	41.65000153	80.26000214	110.4899979	143.5099945	16.36000061	12.14999962	23.76000023	3.529999971	-1.149999976	-1.49000001	4.679999828	-9.869999886	32	33	0.04641
L_11_94 	57	8	1994	10	8	29	0	27	32	65.77999878	125.2200012	120.1399994	15.18000031	14.67000008	24.53000069	1.419999957	-1.929999948	-1.610000014	4.71999979	-11.57999992	32	33	0.04641
L_11_02 	58	8	2002	14	13	26	0	13	48.50999832	77.47000122	108.7099991	105.1500015	16.93000031	11.46000004	24	0.300000012	-0.460000008	-3.519999981	4.71999979	-11.84000015	32	33	0.04641
