,Date,Country,City,Killed,Injured,Description
21,1/16/2002,Indonesia,Malei,1,0,A Christian man is gunned down by angry Muslims while collecting fruit.
22,1/16/2002,Pakistan,Lahore,0,5,Five guards are injured in an Islamist attack on the airport.
23,1/16/2002,Israel,Jenin,1,0,Arab killed in Jenin while sitting in a car bearing Israeli license plates.
24,1/17/2002,Israel,Hadera,6,35,Terrorist barges into a bat mitzvah reception and kills six guests with an assault rifle. Thirty-five others also shot.
25,1/17/2002,India,Kanak Mandi,2,8,Two civilians are killed in a terrorist bombing.  Eight others are injured.
26,1/18/2002,India,Budhan,0,2,Two children are injured when a Muslim throws a grenade into a house.
27,1/20/2002,India,Behra,11,3,"Muslim terrorists invade a home and slaughter eight children, two women and one man in a bloody rampage."
28,1/22/2002,Israel,Jerusalem,2,40,"Palestinian terrorist fires assault rifle into a bus-stop, killing two women and injuring forty others."
29,1/22/2002,Bangladesh,Kolkata,5,20,Five guards at the American Center are killed in a drive-by shooting attack by Islamists.
30,1/23/2002,India,Donipora-Kantpora,2,0,Two civilians are abducted and murdered by the Mujahideen.
31,1/24/2002,India,Sathra,1,3,A security officer is killed in an ambush by Muslim militants.
32,1/26/2002,India,Hala,2,0,The Mujahideen murder a man and his mother inside their home.
33,1/27/2002,Israel,Jerusalem,1,150,An 81-year-old is killed and over one-hundred and fifty injured by suicide bomber armed with more than 10k of explosives.
34,1/27/2002,India,Pingla Dai,2,0,Two civilians are killed by Islamic terrorists at their village.
35,1/30/2002,India,Lachipora,2,0,An off-duty police officer and a family member are killed in their home by the Mujahideen.
36,1/31/2002,India,Reasi,3,5,"Islamic militants lob a grenade at the families of migrant workers, killing three, including two infants."
37,1/31/2002,India,Sarhuti,1,1,Two family members are injured in a Mujahideen attack on their home.  One later dies of injuries.
38,1/31/2002,India,Soo Bathoi,2,0,Pakistani-backed militants abduct two civilians and kill them in captivity.
39,2/1/2002,India,Srinagar,1,0,Muslim separatists assassinate an independent newspaper editor in his office.
40,2/1/2002,India,Dodabug,2,0,A political activist and his bodyguard are gunned down.
41,2/1/2002,India,Sangrawas,2,0,Two civilians are abducted and murdered by Muslim terrorists.
42,2/3/2002,Algeria,al-Medya,12,8,Five Islamic fundamentalists set up a false roadblock and proceed to slaughter a dozen unlucky motorists.
43,2/4/2002,Bangladesh,Chittagong,1,3,"Jamaat-e-Islami militants set off a series of bombs at a press club, killing at least one person."
44,2/4/2002,Pakistan,Jhang,1,0,Two Muslim terrorists gun down a cop involved in anti-terror activities.
45,2/4/2002,India,Batfozen,3,0,"Islamic militants attack two women in their home, brutally killing them along with the young daughter of one."
46,2/4/2002,Algeria,Seidi Lakhder,22,3,Most of the 25 victims were from the same family and were killed for trying to defend themselves. Knives and bullets were used by the Muslim radicals.
47,2/6/2002,Israel,Moshav Hamra,3,0,Three people including a mother and her 11-year-old daughter are killed in a home invasion by an armed terrorist.
48,2/7/2002,India,Chillar,1,0,A civilian is abducted and tortured to death by the Mujahideen.
49,2/8/2002,Israel,Jerusalem,1,0,A 25-year-old Israeli is stabbed to death by four Palestinian teen-agers.
50,2/9/2002,Israel,Ariel,1,0,Elderly man shot to death in a Palestinian ambush while driving car.
51,2/10/2002,Israel,Be'er Sheva,2,4,Drive-by shooting leaves two young Israelis dead and four others wounded.
52,2/10/2002,Algeria,Bouqra,6,0,Islamic fundamentalists slaughter a family of six in a senseless and barbaric attack.
53,2/12/2002,Pakistan,Karachi,1,0,A doctor is gunned down outside his clinic in a sectarian attack.
54,2/12/2002,India,Parori Gujaran,3,1,Three security forces are killed by Muslim terrorists in a shootout.
55,2/13/2002,India,Bathian,1,0,Islamic militants kill a party activist and burn his house.
56,2/14/2002,India,Thanna Mandi,1,0,A woman is killed by a group of Muslims.
57,2/15/2002,Algeria,Jejil,3,1,Three members of the Algerian self-defense forces are killed in a bombing by Islamic fundamentalists.
58,2/15/2002,India,Kashmir,3,0,"Three civilians are murdered by terrorists in separate attacks (Gowran, Markpora Sumbal and woman at Darhal)."
59,2/16/2002,India,Narala,8,7,"In a horrible attack, Lashkar-e-Toiba terrorists massacre eight members of two families, including two women and four children."
60,2/16/2002,Israel,Karnei Shomron,3,30,Three teen-agers are blown apart by a Muslim suicide bomber at a pizzeria. Thirty others injured.
61,2/18/2002,Israel,Gush Katif,3,1,Three Israelis are killed in a Palestinian shooting attack.
62,2/19/2002,India,Gool,2,0,"Two people, including a civilian, are killed in an IED attack by the Mujahideen."
63,2/19/2002,India,Kishtwar,1,16,"A civilian is killed, and sixteen others injured in a grenade attack by Muslim terrorists."
64,2/19/2002,Israel,Ramallah,6,1,Six soldiers are killed when terrorists open fire at a roadblock.
65,2/22/2002,Israel,Jerusalem,1,0,A 59-year-old man is murdered by a Palestinian terrorist while driving home from work.
66,2/22/2002,Pakistan,Karachi,1,0,"Jewish journalist Daniel Pearl is kidnapped, held for several weeks, then killed by five Islamics. Videotape shows throat being cut."
67,2/22/2002,India,Aragam,2,2,"The Mujahideen attack four civilians, killing two of them."
68,2/23/2002,India,Wagbal,1,1,"A man is murdered by the Mujahideen, who also seriously injure his sister."
69,2/24/2002,Nigeria,Gombi,1,0,"A young Christian woman is kidnapped by four Muslim men, who slit her throat and leave her to die."
70,2/24/2002,Morocco,Casablanca,1,0,An 'impious' Muslim is stoned to death.
71,2/25/2002,Israel,Neve Ya'akov,1,2,One killed and two injured by a Palestinian terrorist while waiting for a bus.
72,2/25/2002,Israel,Tekoa,2,1,An Islamic terrorist kills two Jews and injures one other in a shooting attack.
73,2/26/2002,India,Gujarat,59,38,"In a horrific and senseless attack, a group of militant Muslims set fire to a train carrying Hindu pilgrims. Fifty-nine innocents are burned to death, including fifteen children."
74,2/26/2002,India,Kashmir,2,1,"Two civilians are killed in separate attacks by the Mujahideen (Moila, Newatta)."
75,2/26/2002,Pakistan,Rawalpindi,10,21,"Ten Shias are slaughtered, as Sunnis open up with automatic weapons at point-blank range at a mosque.  At least twenty others are injured."
76,2/27/2002,Nigeria,Ilorin,3,0,Eid-el-Kabir celebrants kill three Christians.
77,2/27/2002,India,Tangwari,1,1,The Mujahideen pull a man from a passenger bus and execute him by the roadside.
78,2/28/2002,Israel,Atarot,1,0,Jewish employer killed by a Muslim employee. Fatah takes credit for this attack.
79,2/28/2002,Pakistan,Karachi,2,11,"Islamists ambush a prisoner transport, killing a guard and a prisoner."
80,2/28/2002,India,Udhampur,2,0,Separate attacks by the Mujahideen leave a police officer and a civilian dead.
81,3/2/2002,India,Roshli,2,0,A man and wife are abducted from their home and killed by Muslim terrorists.
82,3/2/2002,Israel,Jerusalem,10,52,"Ten people, mostly women and small children were killed by a suicide bomber. Most were waiting with baby carriages for their husbands to return from the synagogue."
83,3/2/2002,Israel,Mar Saba,1,0,Jerusalem police detective assassinated by Tanzim while on holiday in the desert.
84,3/3/2002,Israel,Kissufim,1,4,Soldier killed at a roadblock by Palestinian gunman. Four others injured.
85,3/3/2002,Israel,Ofra,10,6,Hamas terrorist kills ten and wounds six by opening fire at a roadblock.
86,3/3/2002,India,Kashmir,2,0,"Two civilians are killed in separate terror attacks (Handwara, Yaripora)."
87,3/4/2002,India,Morha Pathana,4,0,The Mujahideen abduct and massacre four civilians in a brutal attack.
88,3/4/2002,Pakistan,Khyaban-e-Hafiz,1,0,A doctor is killed by two gunmen in a sectarian attack.
89,3/5/2002,Israel,Afula,1,17,85-year-old man is killed in a Fedayeen suicide bombing at a bus station.
90,3/5/2002,Israel,Bethlehem,1,1,A female motorist gunned down by a Palestinian sniper. Her husband is badly injured.
91,3/5/2002,Israel,Tel Aviv,3,30,Three Israelis are killed and more than thirty injured when two Muslim gunmen open fire at adjacent restaurants.
92,3/6/2002,Israel,Khan Yunis,2,0,Two Israeli soldiers are killed in a Palestinian ambush.
93,3/7/2002,Nigeria,Enugu,12,0,"Muslim gunmen storm a Christian prayer meeting attempting to kill the leader. Twelve are killed, an unknown number injured."
94,3/7/2002,Pakistan,Lyari,1,0,Another physician is killed in a sectarian attack on his car.
95,3/7/2002,India,Kashmir,3,0,"In separate attacks (Watnar, Mendhar, Androon) three civilians are killed after being taken captive."
96,3/7/2002,Israel,Gush Katif,5,23,Five Israeli teen-agers are killed and twenty-three are injured by a Palestinian sniper in a heinous shooting.
97,3/8/2002,Algeria,al-Bleida,6,0,"Islamic attackers open fire on a civilian vehicle then set the car on fire, killing a half-dozen people."
98,3/8/2002,Israel,Tulkarm,1,0,An Israelis soldier is killed by a Palestinian sniper.
99,3/8/2002,Pakistan,Multan,1,0,A retired Shia banker is killed by radical Sunnis in his shop.
100,3/9/2002,Pakistan,New Karachi,1,1,"A doctor is gunned down by Sunnis on motorcycles, who also injure a patient."
101,3/9/2002,Israel,Jerusalem,11,54,A Hamas (Islamic Resistance) suicide bomber kills eleven and injures 54 at a crowded cafe.
102,3/9/2002,Israel,Netanya,2,50,The Fatah Al-Aqsa Brigades takes credit for killing a 9-month-old infant and one other in grenade attack that also left 50 others injured.
103,3/10/2002,Pakistan,Akora Khattak,2,20,"Bomb rocks a local exhibition, killing at least two."
104,3/10/2002,India,Chak Seri,1,1,"The Mujahideen abduct two civilians, later executing one of them.  Fate of the other is unknown."
105,3/11/2002,Pakistan,Muzaffargarh,4,0,Four people are killed in sectarian violence between Shias and Sunnis.
106,3/12/2002,Israel,Metzuba,6,7,"Gunmen disguised in IDF uniforms ambush a bus and kill six, wound seven."
107,3/12/2002,Pakistan,Karimabad,1,0,A Shia doctor is gunned down outside his clinic.
108,3/12/2002,India,Kashmir,4,0,Four civilians are abducted and murdered by the Mujahideen in separate attacks.
109,3/13/2002,India,Morha Kuthyani,2,0,A civilian and his son are shot to death by radical Muslims.
110,3/13/2002,India,Nowshera,2,0,Islamic rebels rape a Hindu woman before killing her and her son.  The bodies are left in the forest.
111,3/14/2002,Israel,Gaza,3,2,Terrorists detonate a bomb by remote control that kills three Israelis and injures two.
112,3/16/2002,Pakistan,Jhang,5,0,Five policemen are gunned down by Islamists.
113,3/17/2002,Pakistan,Islamabad,5,45,Grenade attack on a Christian church kills five worshippers including American woman and her 17-year-old daughter. Forty-five others were injured.
114,3/17/2002,Israel,Kfar Saba,1,16,"A Palestinian terrorist opens fire on motorists, taking the life of a teenager and injuring sixteen others."
115,3/18/2002,Pakistan,Quetta,1,0,A party activist is killed in a sectarian attack.
116,3/19/2002,Algeria,Algiers,0,13,Thirteen injured by home-made bomb at the post office set by Islamic fundamentalists.
117,3/19/2002,Algeria,Souq al-Had,4,0,Four farmers are ambushed and killed by armed Islamic fundamentalists.
118,3/19/2002,Algeria,Souq al-Had,6,0,"Islamic fundamentalists kill six victims, all from the same family. The father and mother were beheaded - the four children mutilated."
119,3/19/2002,USA,"Tuscon, AZ",1,0,A 60-year-old man is gunned down by Muslim snipers on a golf course.
120,3/19/2002,Pakistan,Lahore,3,0,"Three people, including a professor, are killed in two sectarian attacks."
121,3/19/2002,India,Plangar,1,0,Militant Muslims hang a young girl.
122,3/20/2002,India,Dogripora,2,5,Two children are killed by a Mujahideen IED blast.
123,3/20/2002,Israel,Musmus,7,30,Seven passengers are killed when a Fedayeen suicide bomber blows up a passenger bus.  Thirty others are injured in the blast.
124,3/21/2002,Israel,Jerusalem,3,86,Suicide bomber kills three and injures eighty-six when detonating in a crowd of shoppers.
125,3/21/2002,Pakistan,Karachi,1,0,The Shia owner of a video shop is gunned down by militant Sunnis.
126,3/21/2002,India,Damhal Hanjipora,0,14,Fourteen people are injured when a Muslim radical throws a grenade at a bus stop.
127,3/22/2002,India,Shopian,0,35,Thirty-five people sustain injury when a Fedayeen hurls a grenade into a crowded market.
128,3/23/2002,India,Srinagar,2,20,A woman is among two people killed by Lashkar-e-Toiba in a grenade attack.
129,3/24/2002,Israel,Ramallah,1,0,A woman is killed by a Palestinian sniper while riding on a bus.
130,3/24/2002,India,Kashmir,6,2,Lashkar-e-Toiba terrorists are thought responsible for three attacks that leave six security force members dead.
131,3/25/2002,India,Malanu,1,0,A man is abducted and tortured to death by the Mujahideen.
132,3/27/2002,Israel,Netanya,29,133,Hamas (Islamic Resistance) bomber kills twenty-nine Jews celebrating Passover in a hotel. One-hundred and thirty-seven others are injured in the attack.
133,3/28/2002,Israel,Elon Moreh,4,0,"A 20-year-old man, his two middle-aged parents and his grandfather were killed during a home invasion by a Muslim gunman."
134,3/29/2002,Israel,Jerusalem,4,28,Two security guards are killed and twenty-eight people injured by a suicide bomber. Two soldiers were also killed by Palestinians in Ramallah.
135,3/29/2002,Israel,Neztarim,2,0,Two elderly Jews are killed by a Palestinian terrorist.  Two Palestinian groups claim credit.
136,3/29/2002,India,Rajouri,2,0,The Mujahideen burn houses and kill two civilians.
137,3/29/2002,India,Kalakote,2,1,A Fedayeen attack kills two border guards.
138,3/30/2002,India,Jammu,7,20,"A Fedayeen attack on a Hindu temple kills seven people, including a female pilgrim."
139,3/30/2002,Israel,Tel Aviv,1,30,"A 36-year-old woman is murdered, and thirty others wounded by a suicide bomber in a cafe."
140,3/31/2002,Israel,Haifa,15,40,Fifteen Israelis are killed in a restaurant by a Fedayeen suicide bomber. Over forty others are burned and maimed in the explosion.
141,3/31/2002,Pakistan,Bahawalpur,2,0,A mosque caretaker and his son are killed in a sectarian attack.
142,3/31/2002,India,Azmatabad,1,0,A man is killed inside his home merely for being the brother of a police officer.
143,4/1/2002,Pakistan,Spin Qaira,2,12,"Bomb explodes on a passenger bus, killing at least two people."
144,4/1/2002,India,Bowan-Watsar,1,1,Islamic terrorists kill a teacher inside his home in an attack that also injures his young son.
145,4/2/2002,India,Tabaloo-Sung,2,0,Two policemen are killed in a village ambush by the Mujahideen.
146,4/3/2002,India,Chanchora,2,1,"Terrorists attack the house of a civilian, killing his son.  Elsewhere (Handwara) a man is abducted and murdered."
147,4/4/2002,India,Lopra,1,0,A public works employee is murdered outside his residence.
148,4/4/2002,India,Baramulla,4,0,"In a brutal attack, Tehreek-e-Jehad-e-Islami members enter the house of a civilian and shoot him to death, along with his wife, daughter and another girl."
149,4/4/2002,Indonesia,Ambon,5,57,"An Islamist throws a bomb into a Christian center, killing five and injuring fifty-seven other innocents."
150,4/6/2002,Israel,Rafiah Yam,1,5,"Palestinian gunman opens fire at the entrance to a settlement. One is killed, five are wounded."
151,4/8/2002,Afghanistan,Jalalabad,9,92,"A terrorist bomb explodes near a government convoy. Nine are killed, ninety-two are injured."
152,4/8/2002,India,Dandli Dansal,8,6,"A horrific assault by Hizbul Mujahideen on a village leaves seven persons, including three children and two women dead.  Another child subsequently dies of injuries."
153,4/9/2002,India,Kulgam,2,0,Two brothers are abducted and murdered by Lashkar-e-Toiba.
154,4/9/2002,India,Kokernag,2,11,"A grenade attack by militant Muslims leaves two civilians dead and eleven others, including three girls, critically injured."
155,4/9/2002,Israel,Jenin,13,7,Thirteen IDF reservists are killed and seven injured by the combined efforts of a very young Palestinian suicide bomber and supporting gunfire.
156,4/10/2002,Israel,Yagur,8,22,Eight people are killed by a Muslim bomber while riding on a bus. Twenty-two others are injured in the attack.
157,4/11/2002,Tunisia,Erriadh,21,18,Islamic suicide bomber kills twenty-one in an attack on town's oldest synagogue. Youngest fatality is an 11-year-old German boy.
158,4/12/2002,Israel,Jerusalem,6,104,"Six people, including two Chinese nationals, are killed by a Palestinian suicide bomber at a bus stop in an attack that leaves one-hundred and four others injured."
159,4/12/2002,India,Kashmir,10,17,Four separate Fedayeen attacks across the region leave ten innocents dead and at least seventeen others injured.
160,4/13/2002,India,Bonkoot,1,2,A Mujahideen attack on a security patrol leaves one member dead.
161,4/14/2002,India,Pulwama,1,9,A grenade lobbed onto the road by a militant Muslim kills a civilian and injures nine others.
162,4/15/2002,India,Doda,1,0,A woman is cut down by Muslim terrorists.
163,4/16/2002,India,Srinagar,2,0,The Mujahideen kills two civilians with an IED.
164,4/16/2002,India,Awantipora,2,4,Two civilians are killed in a bomb blast at a market.
165,4/18/2002,India,Dooru,1,0,A civilian is abducted and killed by Islamic terrorists.
166,4/20/2002,India,Milan,3,4,"The Mujahideen attacks a security patrol, killing three members."
167,4/20/2002,India,Sagarian Azmatabad,2,0,Islamists kill a man and his grandmother at their residence.
168,4/21/2002,Pakistan,Karachi,1,0,A physician succumbs to injuries suffered in a sectarian attack.
169,4/22/2002,India,Kashmir,3,0,"In separate attacks, two people are abducted and killed, and a woman is killed inside her home by Islamic militants."
170,4/22/2002,India,Nagam,2,0,Two laborers are shot to death by Islamic terrorists.
171,4/23/2002,India,Shopian,1,3,Four students are kidnapped and 'severely' tortured.  A 15-year-old dies and the others are freed.
172,4/23/2002,Bangladesh,Chittagong,1,0,A Buddhist monk is stabbed to death by Islamic terrorists after returning home from prayers.
173,4/24/2002,Algeria,al-Jeije,16,0,"Fundamentalists kill a total of sixteen includes eight children and four women, all from the same family."
174,4/25/2002,India,Gharat Morh,1,2,A civilian is killed when Islamic militants lob a bomb under a passenger bus.  Twenty-one others are injured.
175,4/25/2002,Pakistan,Lahore,12,25,"Radical Sunnis bomb a Shia ceremony, slaughtering twelve, including seven women and five children.  Twenty-five others suffer injury."
176,4/25/2002,India,Dharmsal,2,0,Two civilians are abducted by militant Muslims.  Their bodies are recovered four days later.
177,4/25/2002,Algeria,Mashraat Sava,4,0,Armed Islamic attack kills four people.
178,4/27/2002,Israel,Adora,4,7,"Palestinian terrorists dressed in IDF uniforms infiltrate a settlement and killed four civilians, including a 5-year old boy. Seven others were injured."
179,4/28/2002,Sudan,Shoba Karika,24,23,"An Arab militia attacks two villages, killing about two dozen African civilians and burning many houses.  At least that many are injured as well."
180,4/28/2002,Indonesia,Soya,12,6,Muslims attack a Christian village with knives and guns. They are able to slaughter twelve people and hurt six more.
181,4/29/2002,India,Sangarwani Keller,1,0,A civilian is abducted and murdered by the Mujahideen.
182,5/1/2002,Pakistan,Muzaffarabad,1,4,A bombing kills a 5-year-old boy and injures four of his family members.
183,5/1/2002,Pakistan,Karachi,0,20,"Two blasts, occurring at a market and a nursery, injure twenty, including children."
184,5/1/2002,Bangladesh,Natore,1,25,"Islamic fundamentalists bomb a cinema, killing a young boy and injuring two dozen others."
185,5/2/2002,Algeria,Sedi Khaled,11,0,"Eleven civilians, including children, are massacred by Islamic fundamentalists."
186,5/2/2002,Algeria,Kasar Shalala,20,5,Islamist attack on civilians in the Teyart region leaves twenty dead.
187,5/2/2002,Pakistan,Karachi,1,4,A man is killed by a bomb in his own home.  Four family members are injured.
188,5/2/2002,India,Athwatoo,1,0,A civilian is abducted and murdered by the Mujahideen.
189,5/3/2002,India,Bandipore,3,0,Islamists behead two brothers and shoot another civilian dead in a separate attack.
190,5/4/2002,India,Madiyani,5,0,"Hizb-ul-Mujahideen murder five people, including two brothers and a father and son in an overnight raid."
191,5/5/2002,Pakistan,Karachi,1,0,A Sunni activist is slain in a sectarian attack.
192,5/5/2002,India,Kashmir,2,0,Two civilians are murdered by the Mujahideen in separate attacks (Hajipora & Budhal).
193,5/5/2002,Pakistan,Karachi,1,0,Policeman killed by Islamist gunmen.
194,5/6/2002,Pakistan,Karachi,3,0,"Three persons - principal of a government institute, his driver and assistant - are killed in an ambush by armed fundamentalists."
195,5/7/2002,Israel,Rishon Lezion,15,55,Fifteen people are killed and fifty-five more injured in a Fedayeen suicide attack on a crowded game club.
196,5/7/2002,Pakistan,Lahore,3,0,"Noted religious scholar Ghulam Murtaza Malik, his driver and a police personnel are shot to death by Islamists.."
197,5/7/2002,Pakistan,Karachi,1,0,Another sectarian killing by two gunmen.
198,5/8/2002,India,Morha Bagla,1,0,Two Jihad terrorists kill a man after getting directions from him.
199,5/8/2002,Pakistan,Karachi,16,34,Twelve French nationals and four Pakistanis are killed and 34 more injured in a suicide bombing against a bus opposite Sheraton Hotel.
200,5/9/2002,Dagestan,Kaspiisk,45,170,"Chechen terrorists detonate a bomb at a Russian military parade, slaughtering forty-five innocents and injuring more than one-hundred and seventy."
201,5/9/2002,Pakistan,Rawalpindi,2,1,Two policemen killed and one injured in Islamist attack.
202,5/9/2002,India,Dalwa,1,1,"Lashkar-e-Toiba abduct two brothers who refuse to join them.  Both are tortured, with one dying."
203,5/10/2002,India,Kither,1,1,The Mujahideen kill one civilian and severely injure another in their homes.
204,5/10/2002,India,Nandipora-Beerwah,2,0,A man and his elderly father are killed inside their home by militant Muslims.
205,5/12/2002,India,Butshungni-Winder,2,2,"The Mujahideen kill two civilians, critically injure another and abduct a fourth."
206,5/13/2002,India,Sarawa,1,0,Lashkar-e-Toiba terrorists force their way into a home and kill a man's son for his refusal to join them.
207,5/14/2002,Algeria,Baraqi,5,0,Five policeman are assassinated by fundamentalists in two separate attacks (first attack was in Dali Ibrahim).
208,5/14/2002,Algeria,Tazmalt,7,5,Religious fundamentalists set off a bomb at the entrance to a market.
209,5/14/2002,India,Kaluchak,36,48,"Islamic militants raid a military camp, killing thirty-six people, mostly the wives and children of Indian soldiers, including a 2-month-old child."
210,5/16/2002,Indonesia,Tamonjeka,2,0,Two Christian men are killed by suspected Muslim radicals.
211,5/17/2002,India,Bonkoot,1,1,Jaish-e-Mohammed murder an 18-year-old and injure his mother as she tries to protect him.
212,5/17/2002,India,Jammu,2,16,Two are killed in militant Muslim bomb blast.
213,5/19/2002,India,Chasana,4,7,Fedayeen attack on Indian military camp kills four and leaves seven injured.
214,5/19/2002,Israel,Netanya,3,59,A Palestinian suicide bomber kills three and injures fifty-nine other shoppers at a market.
215,5/21/2002,Pakistan,Karachi,1,12,One person is killed in a sectarian attack on a Shia religious procession.
216,5/22/2002,Israel,Rishon Lezion,2,40,A Palestinian suicide bomber kills two and injures forty people at a shopping mall.
217,5/22/2002,India,Kashmir,5,3,Five people are killed by the Mujahideen in four separate attacks.
218,5/22/2002,Pakistan,Gulistan-e-Mustafa,1,0,A Sunni activist is killed in a sectarian attack.
219,5/23/2002,India,Kashmir,2,10,"Two civilians are separately abducted and murdered by the Mujahideen (Kandi, Warpora).  Ten others are injured in a grenade attack at a bus station."
220,5/24/2002,India,Kupwara,2,0,Two civilians are killed in separate attacks by Islamic terrorists (one in captivity).
221,5/25/2002,India,Shopian,9,0,Nine persons are injured in a grenade attack on a city street.
222,5/25/2002,Indonesia,Saparua,5,11,A Muslim boat attack kills five Christians and wounds eleven others.
223,5/27/2002,USA,"Denton, TX",1,0,Muslim snipers kill a man as he works in his yard.
224,5/27/2002,Israel,Petah Tikva,2,37,Fatah takes credit for killing a 14-month-old baby and her grandmother near an ice-cream parlor in an attack that also injured thirty-seven.
225,5/28/2002,Israel,Itamar,3,2,Palestinian gunman kills three teenagers and injures another two. All youths were playing basketball in their community at the time.
226,5/28/2002,India,Sharat Shopian,2,0,The Mujahideen murder two sisters.
227,5/30/2002,Pakistan,Karachi,1,0,The female principle of a private school is shot to death by Islamists as she is walking to the building.
228,5/30/2002,India,Thanna Mandi,2,1,A female police officer and a civilian are killed in a Mujahideen attack.
229,5/30/2002,India,Thuru,2,0,Two security personnel are killed in a Jihad ambush.
230,5/30/2002,India,Doda,3,3,A Fedayeen attack on a police station leaves three officers dead and three injured.
231,5/31/2002,India,Gonikhan,1,16,A Jihadi kills a young child and injures sixteen others with a grenade.
232,5/31/2002,India,Srinagar,0,14,Fourteen people are critically injured in a grenade attack by a militant Muslim.
233,6/1/2002,India,Anantnag,0,18,Three women are among eighteen victims of a grenade attack on a city street.
234,6/2/2002,England,"Orpington, Kent",1,0,33-year-old British man beaten to death by a Muslim gang.
235,6/2/2002,Philippines,Jolo,1,2,Abu Sayyaf militants abduct three sailors and hold them for nearly a year.  Two escape and one is executed.
236,6/2/2002,India,Kashmir,2,0,Two civilians are murdered is separate Mujahideen attacks (Gudder & Botingo).
237,6/3/2002,India,Dureja,1,0,Muslims kill a woman for granting official approval to an inter-religious marriage.
238,6/5/2002,India,Bangalore,2,0,A Christian man and his Muslim wife are captured and hacked to death by her family for marrying outside Islam.  Their one-year-old baby is spared.
239,6/5/2002,India,Kashmir,3,0,Three civilians are killed by Jihadis in separate attacks.
240,6/5/2002,Indonesia,Tentena,4,17,"A bomb planted by Muslim radicals explodes on a church bus killing four, including the pastor, and wounding seventeen."
241,6/5/2002,Israel,Afula,17,38,Seventeen people killed by a Muslim suicide bomber while riding in a bus. Thirty-eight others were injured.
242,6/6/2002,Afghanistan,Kabul,2,0,The country's Deputy President and his driver are assassinated by the Taliban.
243,6/6/2002,Nigeria,Katsina,1,0,A Muslim mob clubs a Christian police officer to death after a cleric makes false charges that he trampled a Qur'an.
244,6/8/2002,India,Sultan Pathri,3,0,Three security forces are killed in a Mujahideen ambush.
245,6/8/2002,India,Mahore,4,0,Four village guards are captured and killed by Muslim terrorists posing as policemen.
246,6/9/2002,Indonesia,Kayamanya,1,0,An older Christian man is beheaded by a Muslim.
247,6/9/2002,India,Berneli,4,0,"In a brutal slaying, Islamic terrorists abduct four brothers from a wedding party, then execute them."
248,6/9/2002,India,Poonch,1,0,Jihadis kill a woman and set fire to three homes.
249,6/9/2002,Pakistan,Mashkey,2,0,A BNP party leader is assassinated along with an associate.
250,6/10/2002,Afghanistan,Kabul,1,0,A government official is stabbed to death by a crowd of Muslims.
251,6/10/2002,India,Gambhir Mugalan,1,0,"Militant Muslims abduct a girl on the day of her wedding, then cut off her head."
252,6/10/2002,India,Kashmir,3,0,"The Mujahideen kill three civilians in separate attacks, including a school teacher."
253,6/11/2002,Pakistan,Lahore,1,0,A man is murdered in prison by a member of the Anjaman-e-Sipahe Sahaba extremist group after being sentenced for blasphemy.
254,6/11/2002,India,Surankote,2,0,"Two civilians are abducted, tortured and killed by militant Muslims."
255,6/11/2002,Algeria,al-Medya,12,9,Armed Islamists open fire on a train.  One dozen passengers are murdered and several more are injured.
